Time - piezo	Amplitude - piezo	Unnamed: 2	Unnamed: 3	Frequency [Hz] - piezo (Power Spectrum)	Amplitude - piezo (Power Spectrum)
0.0	0.0107769			0.0	8.76932e-06
5e-05	0.0120511			5.0	1.52176e-05
0.0001	0.0120511			10.0	3.7412e-06
0.00015	0.0107769			15.0	7.48494e-07
0.0002	0.0107769			20.0	3.55088e-07
0.00025	0.00950277			25.0	3.41805e-07
0.0003	0.0107769			30.0	1.48627e-07
0.00035	0.0107769			35.0	4.246e-08
0.0004	0.00695441			40.0	5.18879e-09
0.00045	0.00822859			45.0	1.37708e-08
0.0005	0.00950277			50.0	2.17949e-08
0.00055	0.0107769			55.0	1.10344e-06
0.0006	0.00950277			60.0	5.73404e-06
0.00065	0.00822859			65.0	3.22805e-06
0.0007	0.00822859			70.0	1.18362e-06
0.00075	0.00695441			75.0	6.21317e-06
0.0008	0.00440605			80.0	5.91717e-06
0.00085	0.00313188			85.0	3.68801e-06
0.0009	0.000583518			90.0	3.06195e-07
0.00095	0.000583518			95.0	5.6498e-08
0.001	0.0018577			100.0	5.61803e-08
0.00105	-0.00196484			105.0	5.62246e-08
0.0011	-0.00706155			110.0	5.98299e-09
0.00115	-0.0045132			115.0	1.96823e-09
0.0012	-0.0045132			120.0	1.80031e-07
0.00125	-0.00706155			125.0	6.26511e-07
0.0013	-0.0045132			130.0	6.44064e-07
0.00135	-0.00706155			135.0	7.17484e-07
0.0014	-0.0121583			140.0	7.09585e-06
0.00145	-0.00706155			145.0	6.13658e-05
0.0015	-0.00833573			150.0	0.000104469
0.00155	-0.00960991			155.0	5.40789e-05
0.0016	-0.00833573			160.0	1.77721e-05
0.00165	-0.0147066			165.0	2.79134e-06
0.0017	-0.00833573			170.0	1.84995e-05
0.00175	-0.0159808			175.0	9.85462e-06
0.0018	-0.00960991			180.0	5.78284e-07
0.00185	-0.0147066			185.0	1.75312e-07
0.0019	-0.0134324			190.0	2.1913e-07
0.00195	-0.0147066			195.0	2.72821e-07
0.002	-0.0159808			200.0	2.033e-08
0.00205	-0.0159808			205.0	8.53831e-08
0.0021	-0.0134324			210.0	1.47581e-07
0.00215	-0.0108841			215.0	1.71909e-07
0.0022	-0.017255			220.0	8.73086e-07
0.00225	-0.0121583			225.0	1.50248e-06
0.0023	-0.0159808			230.0	5.74734e-07
0.00235	-0.0185292			235.0	7.43461e-08
0.0024	-0.0147066			240.0	1.10696e-08
0.00245	-0.0210775			245.0	8.05237e-10
0.0025	-0.0223517			250.0	1.07109e-08
0.00255	-0.0223517			255.0	5.86228e-09
0.0026	-0.0198033			260.0	5.92332e-09
0.00265	-0.0261742			265.0	8.0598e-09
0.0027	-0.0274484			270.0	1.4447e-08
0.00275	-0.0236259			275.0	4.55452e-08
0.0028	-0.0287226			280.0	3.13242e-08
0.00285	-0.0223517			285.0	6.34942e-09
0.0029	-0.0274484			290.0	7.36832e-08
0.00295	-0.0325451			295.0	4.62062e-07
0.003	-0.0325451			300.0	5.85449e-07
0.00305	-0.0325451			305.0	1.33046e-07
0.0031	-0.0249			310.0	6.41301e-08
0.00315	-0.0338193			315.0	1.37342e-08
0.0032	-0.0287226			320.0	4.79949e-08
0.00325	-0.0287226			325.0	1.48727e-08
0.0033	-0.0287226			330.0	1.01643e-08
0.00335	-0.0261742			335.0	5.69381e-09
0.0034	-0.0338193			340.0	4.78381e-08
0.00345	-0.0325451			345.0	2.26723e-07
0.0035	-0.0287226			350.0	1.57721e-07
0.00355	-0.0312709			355.0	5.90935e-08
0.0036	-0.0274484			360.0	5.22912e-08
