Time - soundlvl	Amplitude - soundlvl	Unnamed: 2	Unnamed: 3	Frequency (Hz) - soundlvl (Power Spectrum)	Amplitude - soundlvl (Power Spectrum)
0.0	1.2776			0.0	1.91674
5e-05	1.29801			5.0	0.957752
0.0001	1.45361			10.0	8.08493e-07
0.00015	1.45871			15.0	8.89047e-07
0.0002	1.32097			20.0	4.6295e-07
0.00025	1.29291			25.0	2.81569e-07
0.0003	1.50463			30.0	5.02203e-07
0.00035	1.599			35.0	3.03786e-06
0.0004	1.43575			40.0	1.49819e-06
0.00045	1.32862			45.0	1.15606e-07
0.0005	1.33117			50.0	3.65668e-08
0.00055	1.42555			55.0	9.52237e-07
0.0006	1.44596			60.0	3.85352e-06
0.00065	1.48167			65.0	4.58434e-06
0.0007	1.50718			70.0	2.99411e-06
0.00075	1.45871			75.0	8.15122e-06
0.0008	1.44086			80.0	4.83788e-06
0.00085	1.36433			85.0	1.4884e-06
0.0009	1.32352			90.0	6.82103e-07
0.00095	1.423			95.0	4.71534e-07
0.001	1.48932			100.0	6.32443e-08
0.00105	1.45106			105.0	1.99449e-07
0.0011	1.37709			110.0	6.64492e-08
0.00115	1.38474			115.0	1.69434e-07
0.0012	1.4128			120.0	6.35166e-07
0.00125	1.39494			125.0	5.65098e-06
0.0013	1.32862			130.0	6.49238e-06
0.00135	1.36433			135.0	4.0625e-06
0.0014	1.4383			140.0	4.84963e-06
0.00145	1.46126			145.0	4.71748e-06
0.0015	1.41025			150.0	7.49812e-07
0.00155	1.28526			155.0	1.93293e-08
0.0016	1.32352			160.0	3.61036e-07
0.00165	1.37198			165.0	7.02486e-07
0.0017	1.44341			170.0	2.13361e-06
0.00175	1.40004			175.0	1.03316e-06
0.0018	1.26995			180.0	1.80511e-06
0.00185	1.36433			185.0	1.70628e-06
0.0019	1.45361			190.0	9.65234e-07
0.00195	1.41025			195.0	3.87969e-07
0.002	1.32097			200.0	5.72387e-07
0.00205	1.32352			205.0	1.44986e-07
0.0021	1.34648			210.0	4.51272e-07
0.00215	1.30566			215.0	4.68498e-06
0.0022	1.32352			220.0	7.90947e-06
0.00225	1.40004			225.0	1.83244e-05
0.0023	1.48167			230.0	8.40005e-06
0.00235	1.35923			235.0	4.10424e-06
