Time - piezo	Amplitude - piezo	Unnamed: 2	Unnamed: 3	Frequency [Hz] - piezo (Power Spectrum)	Amplitude - piezo (Power Spectrum)
0.0	-0.0134324			0.0	5.42576e-07
5e-05	-0.00706155			5.0	1.864e-06
0.0001	-0.00960991			10.0	2.81643e-07
0.00015	-0.00196484			15.0	2.18342e-07
0.0002	-0.00960991			20.0	3.88125e-07
0.00025	-0.00196484			25.0	2.91693e-07
0.0003	-0.00960991			30.0	2.90534e-08
0.00035	-0.00196484			35.0	1.12304e-08
0.0004	-0.00578737			40.0	3.28339e-08
0.00045	0.00440605			45.0	2.25274e-08
0.0005	-0.00323902			50.0	2.28205e-09
0.00055	0.00313188			55.0	9.57495e-07
0.0006	-0.00323902			60.0	3.73456e-06
0.00065	0.000583518			65.0	1.20947e-06
0.0007	-0.00323902			70.0	2.60908e-07
0.00075	0.00440605			75.0	1.90752e-05
0.0008	-0.00578737			80.0	4.66158e-05
0.00085	0.0018577			85.0	1.01638e-05
0.0009	-0.00323902			90.0	1.76565e-07
0.00095	0.0018577			95.0	6.85757e-07
0.001	-0.00706155			100.0	5.54119e-07
0.00105	-0.00196484			105.0	1.75036e-08
0.0011	-0.0045132			110.0	1.04985e-08
0.00115	-0.00323902			115.0	9.64333e-08
0.0012	-0.00706155			120.0	5.96486e-08
0.00125	-0.0045132			125.0	4.31576e-09
0.0013	-0.00323902			130.0	7.31185e-09
0.00135	-0.00196484			135.0	2.80764e-07
0.0014	-0.0045132			140.0	3.62637e-07
0.00145	-0.00960991			145.0	2.5958e-08
0.0015	-0.00833573			150.0	8.56256e-07
0.00155	-0.0045132			155.0	2.16225e-06
0.0016	-0.00196484			160.0	3.93507e-06
0.00165	-0.0121583			165.0	1.00313e-06
0.0017	-0.00323902			170.0	4.30417e-07
0.00175	-0.00960991			175.0	5.17673e-07
0.0018	0.000583518			180.0	3.67177e-07
0.00185	0.000583518			185.0	6.96613e-08
0.0019	0.000583518			190.0	2.48405e-07
0.00195	-0.00069066			195.0	2.20297e-07
0.002	-0.00069066			200.0	9.59537e-09
0.00205	0.00568023			205.0	1.45962e-07
0.0021	0.0018577			210.0	8.30844e-08
0.00215	0.00695441			215.0	3.6266e-08
0.0022	0.00695441			220.0	5.68309e-11
0.00225	0.00695441			225.0	1.67184e-08
0.0023	0.0120511			230.0	1.70627e-08
0.00235	0.00695441			235.0	4.45986e-08
0.0024	0.0120511			240.0	8.82445e-09
0.00245	0.00822859			245.0	5.27073e-09
0.0025	0.0120511			250.0	5.51498e-09
0.00255	0.0107769			255.0	2.22406e-09
0.0026	0.00822859			260.0	2.25803e-08
0.00265	0.0107769			265.0	1.27035e-08
0.0027	0.00568023			270.0	1.52411e-09
0.00275	0.0107769			275.0	3.70752e-09
0.0028	0.00695441			280.0	7.89314e-09
0.00285	0.00568023			285.0	2.07425e-08
0.0029	0.00313188			290.0	5.02005e-09
0.00295	0.000583518			295.0	6.43242e-08
0.003	0.00822859			300.0	9.13761e-08
0.00305	0.00313188			305.0	2.30699e-08
0.0031	0.000583518			310.0	1.84517e-08
0.00315	-0.00323902			315.0	6.08214e-09
0.0032	-0.00578737			320.0	1.17776e-08
0.00325	0.000583518			325.0	1.10819e-08
0.0033	-0.00196484			330.0	4.78018e-10
0.00335	-0.00196484			335.0	4.12112e-09
0.0034	0.000583518			340.0	7.47535e-09
0.00345	-0.0045132			345.0	2.53927e-08
0.0035	0.0018577			350.0	2.25053e-08
0.00355	-0.00196484			355.0	1.82813e-08
0.0036	-0.00069066			360.0	4.869e-08
0.00365	0.00568023			365.0	8.56172e-08
0.0037	-0.00069066			370.0	6.89333e-09
0.00375	0.00695441			375.0	8.36996e-09
0.0038	0.00440605			380.0	8.83012e-09
0.00385	0.00695441			385.0	6.374e-09
0.0039	0.00950277			390.0	1.41452e-09
0.00395	0.00313188			395.0	7.79914e-09
0.004	0.00695441			400.0	2.14307e-09
0.00405	0.00695441			405.0	3.48178e-10
0.0041	0.0107769			410.0	1.64007e-09
0.00415	0.0133253			415.0	6.79423e-09
0.0042	0.00568023			420.0	2.48239e-08
0.00425	0.0133253			425.0	2.18764e-08
0.0043	0.0120511			430.0	3.89325e-09
0.00435	0.00313188			435.0	4.8154e-08
0.0044	0.0107769			440.0	1.85666e-07
0.00445	0.0107769			445.0	8.95964e-08
0.0045	0.0107769			450.0	6.84288e-08
0.00455	0.0158737			455.0	4.56165e-08
0.0046	0.00950277			460.0	4.856e-08
0.00465	0.00822859			465.0	1.33196e-09
0.0047	0.00950277			470.0	1.69558e-08
0.00475	0.00695441			475.0	2.78206e-08
0.0048	0.0120511			480.0	5.4772e-09
0.00485	0.0120511			485.0	9.83132e-08
0.0049	0.00950277			490.0	2.34334e-07
