Time - soundlvl	Amplitude - soundlvl	Unnamed: 2	Unnamed: 3	Frequency (Hz) - soundlvl (Power Spectrum)	Amplitude - soundlvl (Power Spectrum)
0.0	1.37198			0.0	1.92133
5e-05	1.37198			5.0	0.961613
0.0001	1.37964			10.0	8.10153e-07
0.00015	1.31076			15.0	2.56924e-07
0.0002	1.33372			20.0	1.74807e-07
0.00025	1.37453			25.0	2.13131e-07
0.0003	1.34903			30.0	3.11341e-07
0.00035	1.39494			35.0	4.75837e-06
0.0004	1.39749			40.0	3.95581e-06
0.00045	1.37964			45.0	1.38702e-06
0.0005	1.35158			50.0	3.56598e-06
0.00055	1.37198			55.0	7.01782e-06
0.0006	1.43575			60.0	2.98638e-06
0.00065	1.45106			65.0	5.24522e-07
0.0007	1.40004			70.0	6.56041e-07
0.00075	1.4128			75.0	1.46997e-05
0.0008	1.42555			80.0	1.33533e-05
0.00085	1.4332			85.0	2.07624e-06
0.0009	1.33627			90.0	4.2971e-06
0.00095	1.31076			95.0	4.0549e-06
0.001	1.39749			100.0	2.60057e-06
0.00105	1.4281			105.0	3.98405e-06
0.0011	1.38474			110.0	5.41522e-06
0.00115	1.34648			115.0	5.00873e-06
0.0012	1.34903			120.0	2.56637e-06
0.00125	1.30566			125.0	4.93003e-06
0.0013	1.31332			130.0	4.56059e-06
0.00135	1.40514			135.0	7.10992e-07
0.0014	1.40004			140.0	4.30586e-07
0.00145	1.32352			145.0	8.23753e-07
0.0015	1.35923			150.0	3.279e-08
0.00155	1.34648			155.0	4.6417e-07
0.0016	1.32862			160.0	8.17644e-06
0.00165	1.28271			165.0	8.26927e-06
0.0017	1.32352			170.0	3.4188e-06
0.00175	1.38474			175.0	6.13619e-07
0.0018	1.39494			180.0	3.65888e-06
0.00185	1.44341			185.0	7.83395e-07
0.0019	1.40259			190.0	3.2953e-07
0.00195	1.29291			195.0	6.46606e-07
0.002	1.2776			200.0	1.21745e-06
0.00205	1.36688			205.0	1.55688e-06
0.0021	1.42555			210.0	3.15203e-06
0.00215	1.38729			215.0	1.91368e-06
0.0022	1.46381			220.0	1.38267e-06
0.00225	1.47146			225.0	1.53936e-06
0.0023	1.4383			230.0	1.56449e-06
0.00235	1.38474			235.0	2.01222e-06
0.0024	1.31332			240.0	2.21739e-06
0.00245	1.29036			245.0	5.22745e-06
0.0025	1.36433			250.0	3.39079e-06
0.00255	1.47657			255.0	1.11765e-06
0.0026	1.53013			260.0	6.6819e-06
0.00265	1.4332			265.0	3.57977e-06
0.0027	1.33372			270.0	4.96306e-07
0.00275	1.35413			275.0	1.81562e-06
0.0028	1.36943			280.0	2.08692e-07
0.00285	1.36433			285.0	2.79974e-06
0.0029	1.34393			290.0	7.08179e-07
0.00295	1.36178			295.0	3.66141e-07
0.003	1.423			300.0	5.43784e-07
0.00305	1.38219			305.0	2.43759e-06
0.0031	1.29801			310.0	7.34286e-07
0.00315	1.2623			315.0	2.79972e-07
0.0032	1.2725			320.0	6.25509e-06
0.00325	1.33882			325.0	5.03363e-06
0.0033	1.47402			330.0	6.74753e-07
0.00335	1.47657			335.0	1.0217e-08
0.0034	1.35668			340.0	4.25173e-06
0.00345	1.31332			345.0	8.3719e-06
0.0035	1.34903			350.0	3.91463e-06
0.00355	1.36688			355.0	4.48044e-07
0.0036	1.39749			360.0	1.6189e-05
0.00365	1.44596			365.0	3.26495e-05
0.0037	1.44596			370.0	4.69733e-06
0.00375	1.44341			375.0	2.52353e-06
0.0038	1.41535			380.0	3.31007e-06
0.00385	1.34393			385.0	7.03487e-07
0.0039	1.2572			390.0	6.72639e-06
0.00395	1.35923			395.0	2.65162e-05
0.004	1.44596			400.0	5.38196e-06
0.00405	1.54799			405.0	4.3034e-06
0.0041	1.49442			410.0	1.08469e-05
0.00415	1.45616			415.0	1.04179e-05
0.0042	1.34393			420.0	6.61137e-06
0.00425	1.31076			425.0	6.99707e-07
0.0043	1.40004			430.0	2.33516e-07
0.00435	1.40514			435.0	7.17857e-06
0.0044	1.45616			440.0	9.70341e-05
0.00445	1.48422			445.0	0.000108475
0.0045	1.41535			450.0	1.06844e-05
0.00455	1.42045			455.0	2.3764e-06
0.0046	1.37198			460.0	6.10686e-05
0.00465	1.35413			465.0	4.4926e-05
0.0047	1.35923			470.0	6.81374e-07
0.00475	1.44086			475.0	8.30971e-06
0.0048	1.4077			480.0	9.76104e-06
0.00485	1.44341			485.0	4.49251e-06
0.0049	1.41535			490.0	1.73908e-06
0.00495	1.39749			495.0	5.73535e-06
0.005	1.4077			500.0	2.21037e-06
0.00505	1.33882			505.0	2.81864e-06
0.0051	1.35413			510.0	2.32601e-06
0.00515	1.43065			515.0	1.24657e-06
0.0052	1.42045			520.0	1.13033e-06
0.00525	1.44086			525.0	9.01441e-07
0.0053	1.40004			530.0	5.0004e-06
0.00535	1.30311			535.0	2.94734e-06
0.0054	1.27505			540.0	2.07366e-06
0.00545	1.33372			545.0	7.8752e-06
0.0055	1.41535			550.0	6.58836e-06
0.00555	1.48167			555.0	2.32367e-07
0.0056	1.46126			560.0	1.29354e-05
0.00565	1.37453			565.0	2.48069e-06
0.0057	1.32607			570.0	2.59841e-06
0.00575	1.33117			575.0	1.82505e-05
0.0058	1.34648			580.0	1.62172e-05
0.00585	1.38729			585.0	1.9874e-05
0.0059	1.36178			590.0	1.61014e-05
0.00595	1.36433			595.0	5.64139e-07
0.006	1.4077			600.0	3.37337e-06
0.00605	1.49187			605.0	3.69571e-05
0.0061	1.40514			610.0	2.39048e-05
