Time - piezo	Amplitude - piezo	Unnamed: 2	Unnamed: 3	Frequency [Hz] - piezo (Power Spectrum)	Amplitude - piezo (Power Spectrum)
0.0	0.00822859			0.0	3.06578e-07
5e-05	0.0145995			5.0	2.95339e-07
0.0001	0.0120511			10.0	3.91502e-08
0.00015	0.018422			15.0	1.15987e-08
0.0002	0.0107769			20.0	2.10903e-09
0.00025	0.0171478			25.0	4.35713e-08
0.0003	0.00950277			30.0	1.68812e-07
0.00035	0.0133253			35.0	8.73044e-08
0.0004	0.00568023			40.0	2.79798e-09
0.00045	0.00950277			45.0	1.79389e-10
0.0005	0.0018577			50.0	2.63255e-09
0.00055	0.00695441			55.0	1.24762e-06
0.0006	-0.00196484			60.0	4.31236e-06
0.00065	0.0018577			65.0	9.55626e-07
0.0007	-0.00578737			70.0	2.40387e-08
0.00075	-0.00323902			75.0	5.0226e-07
0.0008	-0.0134324			80.0	1.57882e-06
0.00085	-0.00960991			85.0	2.83076e-06
0.0009	-0.017255			90.0	3.67709e-06
0.00095	-0.0134324			95.0	1.4987e-06
0.001	-0.0185292			100.0	9.78472e-08
0.00105	-0.0147066			105.0	3.82495e-08
0.0011	-0.0223517			110.0	2.74096e-08
0.00115	-0.0185292			115.0	3.71928e-08
0.0012	-0.0223517			120.0	7.17108e-08
0.00125	-0.017255			125.0	2.45672e-07
0.0013	-0.0236259			130.0	3.94609e-07
0.00135	-0.0210775			135.0	6.9024e-06
0.0014	-0.0223517			140.0	2.55024e-05
0.00145	-0.0210775			145.0	1.623e-05
0.0015	-0.017255			150.0	1.02782e-05
0.00155	-0.0185292			155.0	8.71887e-05
0.0016	-0.017255			160.0	3.52022e-05
0.00165	-0.0198033			165.0	5.56876e-07
0.0017	-0.0134324			170.0	1.71566e-05
0.00175	-0.017255			175.0	2.08664e-05
0.0018	-0.0121583			180.0	3.29512e-06
0.00185	-0.0134324			185.0	9.6855e-07
0.0019	-0.0121583			190.0	7.09487e-07
0.00195	-0.0108841			195.0	1.50063e-07
0.002	-0.00706155			200.0	3.13088e-09
0.00205	-0.00833573			205.0	7.41571e-09
0.0021	-0.00960991			210.0	6.39625e-08
0.00215	-0.00706155			215.0	1.28382e-07
0.0022	-0.0121583			220.0	3.08235e-08
0.00225	-0.00323902			225.0	3.63849e-09
0.0023	-0.00960991			230.0	1.76401e-08
0.00235	-0.00196484			235.0	4.38637e-08
0.0024	-0.0108841			240.0	3.50878e-08
0.00245	-0.00706155			245.0	1.16276e-08
0.0025	-0.0108841			250.0	1.71618e-07
0.00255	-0.00960991			255.0	4.03944e-07
0.0026	-0.00706155			260.0	1.66463e-07
0.00265	-0.0147066			265.0	7.25738e-08
0.0027	-0.00960991			270.0	1.51066e-08
0.00275	-0.0159808			275.0	3.80465e-09
0.0028	-0.0147066			280.0	3.01627e-09
0.00285	-0.0134324			285.0	2.15564e-09
0.0029	-0.0198033			290.0	1.60326e-09
0.00295	-0.0159808			295.0	4.86204e-09
0.003	-0.0185292			300.0	4.81971e-08
