Time - soundlvl	Amplitude - soundlvl	Unnamed: 2	Unnamed: 3	Frequency (Hz) - soundlvl (Power Spectrum)	Amplitude - soundlvl (Power Spectrum)
0.0	1.35668			0.0	1.93574
5e-05	1.42555			5.0	0.967729
0.0001	1.43575			10.0	1.40414e-08
0.00015	1.40004			15.0	2.6173e-09
0.0002	1.31842			20.0	1.35505e-08
0.00025	1.35413			25.0	1.37379e-08
0.0003	1.34648			30.0	1.55747e-08
0.00035	1.39749			35.0	1.88639e-08
0.0004	1.43575			40.0	7.84873e-09
0.00045	1.4332			45.0	5.99164e-09
0.0005	1.33117			50.0	6.42933e-09
0.00055	1.31076			55.0	3.58083e-09
0.0006	1.31587			60.0	3.23005e-08
0.00065	1.34393			65.0	1.79138e-08
0.0007	1.33882			70.0	3.26395e-08
0.00075	1.36178			75.0	6.02231e-08
0.0008	1.34393			80.0	7.14115e-08
0.00085	1.35158			85.0	1.25934e-07
0.0009	1.33372			90.0	2.15673e-07
0.00095	1.34393			95.0	4.36136e-07
0.001	1.32862			100.0	1.26747e-07
0.00105	1.33627			105.0	2.22808e-09
0.0011	1.38474			110.0	1.02024e-09
0.00115	1.40514			115.0	2.34785e-08
0.0012	1.4281			120.0	7.43683e-08
0.00125	1.44341			125.0	4.02196e-08
0.0013	1.43575			130.0	3.87036e-08
0.00135	1.4128			135.0	5.99091e-08
0.0014	1.4179			140.0	1.78861e-07
0.00145	1.45871			145.0	1.51434e-07
0.0015	1.46636			150.0	3.04092e-07
0.00155	1.46381			155.0	8.55421e-07
0.0016	1.48677			160.0	5.84227e-07
0.00165	1.44086			165.0	1.25242e-07
0.0017	1.42045			170.0	2.62554e-07
0.00175	1.40514			175.0	2.93922e-07
0.0018	1.43575			180.0	3.32728e-08
0.00185	1.4383			185.0	8.08263e-08
0.0019	1.4332			190.0	3.33489e-07
0.00195	1.40004			195.0	4.94916e-08
0.002	1.36688			200.0	6.13115e-08
0.00205	1.38729			205.0	3.71381e-07
0.0021	1.38729			210.0	1.48379e-06
0.00215	1.40004			215.0	6.29777e-07
0.0022	1.4077			220.0	1.6734e-08
0.00225	1.38984			225.0	4.52802e-08
0.0023	1.40259			230.0	5.79216e-07
0.00235	1.38984			235.0	1.95933e-06
0.0024	1.36433			240.0	6.263e-06
0.00245	1.35413			245.0	4.68405e-05
0.0025	1.43065			250.0	0.00041258
0.00255	1.4332			255.0	0.00088679
0.0026	1.4332			260.0	0.000544188
0.00265	1.42555			265.0	0.000223587
0.0027	1.42555			270.0	1.75923e-05
0.00275	1.45106			275.0	2.41623e-05
0.0028	1.40514			280.0	9.4344e-06
0.00285	1.37453			285.0	1.3949e-05
0.0029	1.37453			290.0	2.0582e-06
0.00295	1.37709			295.0	3.56236e-06
0.003	1.46891			300.0	4.42482e-06
0.00305	1.46636			305.0	4.61493e-07
0.0031	1.41025			310.0	4.12419e-06
0.00315	1.34903			315.0	2.16277e-06
0.0032	1.33882			320.0	5.5834e-07
0.00325	1.33372			325.0	4.43079e-07
0.0033	1.36433			330.0	1.26373e-06
0.00335	1.4128			335.0	1.4146e-06
0.0034	1.39749			340.0	3.17849e-07
0.00345	1.38474			345.0	3.16211e-06
0.0035	1.35413			350.0	7.24871e-06
0.00355	1.32862			355.0	8.28689e-06
0.0036	1.32607			360.0	8.23842e-06
0.00365	1.31332			365.0	9.20465e-06
0.0037	1.34137			370.0	1.17829e-05
0.00375	1.423			375.0	1.44674e-05
0.0038	1.43575			380.0	2.64092e-05
0.00385	1.39749			385.0	1.58103e-05
0.0039	1.33372			390.0	1.60072e-05
0.00395	1.32097			395.0	4.08785e-05
0.004	1.33627			400.0	1.96612e-05
0.00405	1.37964			405.0	6.72063e-06
0.0041	1.4128			410.0	4.50811e-07
0.00415	1.38474			415.0	4.27621e-06
0.0042	1.35413			420.0	1.21205e-06
0.00425	1.37198			425.0	1.74243e-06
0.0043	1.32862			430.0	2.79582e-06
0.00435	1.32097			435.0	4.14547e-06
0.0044	1.36433			440.0	7.82037e-06
0.00445	1.34393			445.0	1.06146e-05
0.0045	1.35413			450.0	6.64358e-06
0.00455	1.33117			455.0	4.75131e-06
0.0046	1.33372			460.0	4.83891e-06
0.00465	1.34393			465.0	1.55542e-05
0.0047	1.33117			470.0	2.8215e-06
0.00475	1.32607			475.0	4.42585e-06
0.0048	1.34903			480.0	6.81189e-06
0.00485	1.37964			485.0	6.19885e-06
0.0049	1.4179			490.0	2.05244e-05
0.00495	1.44851			495.0	1.65775e-05
0.005	1.38474			500.0	3.80292e-05
0.00505	1.38729			505.0	0.000245009
0.0051	1.40514			510.0	0.000247343
0.00515	1.44086			515.0	0.000103576
0.0052	1.45616			520.0	5.28027e-05
0.00525	1.47912			525.0	3.73148e-05
0.0053	1.46636			530.0	8.89226e-06
0.00535	1.48167			535.0	8.77863e-06
0.0054	1.45616			540.0	8.2027e-08
0.00545	1.42555			545.0	1.1145e-06
0.0055	1.43065			550.0	1.4952e-06
0.00555	1.4383			555.0	8.39945e-08
0.0056	1.4332			560.0	5.391e-07
0.00565	1.44086			565.0	2.60437e-06
0.0057	1.42555			570.0	8.76803e-06
0.00575	1.423			575.0	5.94379e-06
0.0058	1.41025			580.0	2.58901e-06
0.00585	1.40004			585.0	4.24849e-06
0.0059	1.38729			590.0	1.11938e-05
0.00595	1.41535			595.0	6.01984e-06
0.006	1.43575			600.0	5.31296e-07
0.00605	1.423			605.0	1.71133e-06
0.0061	1.38984			610.0	1.98592e-06
0.00615	1.423			615.0	4.22312e-07
0.0062	1.4383			620.0	3.86076e-06
0.00625	1.4281			625.0	2.56472e-06
0.0063	1.40514			630.0	2.87807e-06
0.00635	1.4128			635.0	7.00033e-07
0.0064	1.46126			640.0	2.68347e-06
0.00645	1.47146			645.0	1.65268e-06
0.0065	1.40514			650.0	1.489e-06
0.00655	1.33882			655.0	7.38603e-07
0.0066	1.36688			660.0	5.34744e-07
0.00665	1.40259			665.0	6.19505e-07
0.0067	1.40004			670.0	1.65727e-06
0.00675	1.39239			675.0	3.80685e-07
0.0068	1.32862			680.0	1.33117e-07
0.00685	1.30311			685.0	4.75756e-07
0.0069	1.30311			690.0	3.2369e-07
0.00695	1.28526			695.0	4.06714e-06
0.007	1.31332			700.0	8.37879e-06
0.00705	1.32097			705.0	1.88139e-06
0.0071	1.32607			710.0	3.04431e-06
0.00715	1.28526			715.0	1.30754e-06
0.0072	1.33117			720.0	2.81969e-06
0.00725	1.33372			725.0	7.01151e-06
0.0073	1.31076			730.0	6.73961e-06
0.00735	1.31332			735.0	6.52676e-06
0.0074	1.38474			740.0	6.87455e-06
0.00745	1.40259			745.0	1.17459e-05
0.0075	1.40514			750.0	3.58922e-05
0.00755	1.38984			755.0	0.000137947
0.0076	1.35158			760.0	0.000211169
0.00765	1.35158			765.0	0.000158163
0.0077	1.36688			770.0	0.000149979
0.00775	1.4128			775.0	0.000126909
0.0078	1.4332			780.0	0.000174015
0.00785	1.38474			785.0	0.000102714
0.0079	1.38474			790.0	3.78287e-05
