Time - piezo	Amplitude - piezo	Unnamed: 2	Unnamed: 3	Frequency [Hz] - piezo (Power Spectrum)	Amplitude - piezo (Power Spectrum)
0.0	0.0018577			0.0	9.63697e-06
5e-05	-0.00323902			5.0	2.81917e-06
0.0001	-0.00960991			10.0	8.19896e-07
0.00015	-0.0121583			15.0	7.29026e-07
0.0002	-0.0147066			20.0	2.42019e-07
0.00025	-0.0134324			25.0	4.21e-08
0.0003	-0.0147066			30.0	1.22126e-07
0.00035	-0.0159808			35.0	3.69422e-08
0.0004	-0.017255			40.0	8.27829e-09
0.00045	-0.017255			45.0	2.89698e-09
0.0005	-0.0159808			50.0	1.48153e-08
0.00055	-0.0159808			55.0	1.23126e-06
0.0006	-0.0121583			60.0	4.55573e-06
0.00065	-0.00833573			65.0	1.4944e-06
0.0007	-0.00578737			70.0	6.68666e-07
0.00075	-0.00196484			75.0	2.13574e-06
0.0008	-0.00196484			80.0	1.14809e-06
0.00085	0.00568023			85.0	2.12001e-07
0.0009	0.00822859			90.0	1.07175e-06
0.00095	0.0107769			95.0	6.2081e-07
0.001	0.0120511			100.0	5.39203e-07
0.00105	0.0133253			105.0	2.16112e-09
0.0011	0.0209704			110.0	3.55937e-08
0.00115	0.0222446			115.0	2.78475e-08
0.0012	0.0222446			120.0	1.97895e-07
0.00125	0.0209704			125.0	1.75426e-06
0.0013	0.0209704			130.0	3.93159e-06
0.00135	0.018422			135.0	9.45649e-07
0.0014	0.0209704			140.0	7.19909e-06
0.00145	0.0196962			145.0	4.79047e-05
0.0015	0.0145995			150.0	3.42269e-05
0.00155	0.0107769			155.0	5.1468e-07
0.0016	0.0158737			160.0	8.80133e-07
0.00165	0.00695441			165.0	3.04402e-07
0.0017	0.00695441			170.0	2.4339e-07
0.00175	-0.00323902			175.0	1.45024e-06
0.0018	0.000583518			180.0	4.47433e-06
0.00185	-0.00706155			185.0	2.57587e-06
0.0019	-0.0045132			190.0	8.60985e-07
0.00195	-0.00833573			195.0	3.62689e-07
0.002	-0.00960991			200.0	2.12369e-07
0.00205	-0.00833573			205.0	4.43413e-08
0.0021	-0.00960991			210.0	6.1338e-09
0.00215	-0.0108841			215.0	3.25038e-08
0.0022	-0.0134324			220.0	9.60598e-08
0.00225	-0.00706155			225.0	7.96359e-08
0.0023	-0.00833573			230.0	1.91744e-08
0.00235	0.000583518			235.0	9.87932e-08
0.0024	0.000583518			240.0	3.30923e-08
0.00245	0.00313188			245.0	1.54271e-07
0.0025	0.00822859			250.0	1.42835e-08
0.00255	0.0133253			255.0	5.31954e-10
0.0026	0.0145995			260.0	6.28837e-09
0.00265	0.0145995			265.0	3.79448e-08
0.0027	0.0222446			270.0	7.70032e-08
0.00275	0.0222446			275.0	2.13819e-08
0.0028	0.0273413			280.0	1.14188e-08
0.00285	0.0286154			285.0	2.2532e-08
0.0029	0.0337122			290.0	3.95343e-08
0.00295	0.0349863			295.0	1.31004e-08
0.003	0.0337122			300.0	5.08317e-08
0.00305	0.0388089			305.0	2.28986e-09
0.0031	0.0349863			310.0	1.11347e-08
0.00315	0.0337122			315.0	2.15175e-08
0.0032	0.0337122			320.0	1.81994e-08
0.00325	0.032438			325.0	1.36714e-10
0.0033	0.0337122			330.0	1.65489e-08
0.00335	0.0247929			335.0	1.24252e-08
0.0034	0.0235187			340.0	2.96724e-09
0.00345	0.0222446			345.0	9.86712e-09
0.0035	0.018422			350.0	1.35215e-08
0.00355	0.018422			355.0	2.97181e-10
0.0036	0.0107769			360.0	2.708e-08
0.00365	0.0120511			365.0	2.84366e-08
0.0037	0.00695441			370.0	9.04744e-09
0.00375	0.00313188			375.0	3.43142e-10
0.0038	0.00313188			380.0	7.77414e-09
0.00385	0.00313188			385.0	1.82833e-08
0.0039	0.00568023			390.0	1.53703e-08
0.00395	-0.00196484			395.0	2.70869e-08
0.004	0.000583518			400.0	1.28912e-08
0.00405	0.00313188			405.0	8.36967e-09
0.0041	0.00313188			410.0	1.19262e-08
0.00415	0.0107769			415.0	4.90487e-08
0.0042	0.00822859			420.0	5.33333e-08
0.00425	0.0133253			425.0	3.8485e-08
0.0043	0.018422			430.0	4.82826e-09
0.00435	0.0171478			435.0	1.04375e-08
0.0044	0.0222446			440.0	2.58819e-08
0.00445	0.0273413			445.0	1.89887e-08
0.0045	0.0311638			450.0	1.99956e-07
0.00455	0.0375347			455.0	4.59908e-07
0.0046	0.0337122			460.0	7.00451e-08
0.00465	0.0375347			465.0	3.073e-08
0.0047	0.0388089			470.0	1.09345e-07
0.00475	0.0388089			475.0	1.74908e-07
0.0048	0.0426314			480.0	1.44841e-07
0.00485	0.0426314			485.0	1.24755e-07
0.0049	0.0413572			490.0	3.64376e-07
0.00495	0.0426314			495.0	1.96137e-07
0.005	0.0375347			500.0	5.47083e-08
0.00505	0.0349863			505.0	5.73377e-08
0.0051	0.0375347			510.0	1.69717e-08
0.00515	0.0286154			515.0	6.24743e-08
0.0052	0.0311638			520.0	1.24948e-07
0.00525	0.0260671			525.0	8.63454e-07
0.0053	0.0222446			530.0	4.8525e-06
0.00535	0.0209704			535.0	2.77442e-05
0.0054	0.0120511			540.0	8.31567e-05
0.00545	0.0120511			545.0	6.77255e-05
0.0055	0.00822859			550.0	6.83255e-06
0.00555	-0.00069066			555.0	2.18422e-06
0.0056	0.000583518			560.0	2.0702e-07
0.00565	-0.00196484			565.0	4.2176e-07
0.0057	-0.00196484			570.0	3.31513e-07
0.00575	0.000583518			575.0	2.89568e-07
0.0058	-0.00833573			580.0	1.79408e-08
0.00585	-0.00578737			585.0	9.1815e-09
0.0059	-0.0045132			590.0	5.51436e-08
0.00595	-0.00706155			595.0	1.90201e-09
0.006	-0.0045132			600.0	7.65199e-08
0.00605	-0.00196484			605.0	1.22804e-08
0.0061	-0.00323902			610.0	2.37679e-08
0.00615	0.00440605			615.0	6.46611e-08
0.0062	0.00568023			620.0	9.69932e-08
0.00625	0.00695441			625.0	2.47903e-08
0.0063	0.0120511			630.0	2.03731e-08
0.00635	0.0120511			635.0	1.89901e-08
0.0064	0.0120511			640.0	6.97751e-09
0.00645	0.018422			645.0	5.25273e-09
0.0065	0.018422			650.0	3.53366e-09
0.00655	0.0158737			655.0	8.10932e-10
