Time - soundlvl	Amplitude - soundlvl	Unnamed: 2	Unnamed: 3	Frequency (Hz) - soundlvl (Power Spectrum)	Amplitude - soundlvl (Power Spectrum)
0.0	1.38474			0.0	1.93699
5e-05	1.37709			5.0	0.968517
0.0001	1.36433			10.0	1.47156e-09
0.00015	1.38474			15.0	3.31968e-10
0.0002	1.40259			20.0	6.31921e-09
0.00025	1.39239			25.0	2.49019e-08
0.0003	1.36943			30.0	4.9013e-09
0.00035	1.37198			35.0	1.45807e-08
0.0004	1.37964			40.0	9.97548e-09
0.00045	1.38474			45.0	9.36014e-09
0.0005	1.38474			50.0	1.23206e-08
0.00055	1.39494			55.0	1.65159e-08
0.0006	1.4077			60.0	1.34059e-08
0.00065	1.39239			65.0	1.26364e-08
0.0007	1.37453			70.0	4.9635e-09
0.00075	1.37453			75.0	1.95471e-09
0.0008	1.38729			80.0	2.29972e-09
0.00085	1.37964			85.0	3.36349e-08
0.0009	1.38729			90.0	2.82543e-08
0.00095	1.40004			95.0	3.35792e-07
0.001	1.40004			100.0	1.68447e-07
0.00105	1.38474			105.0	2.22393e-08
0.0011	1.39494			110.0	9.14455e-09
0.00115	1.38219			115.0	3.64504e-08
0.0012	1.37453			120.0	5.71959e-08
0.00125	1.37198			125.0	1.48903e-07
0.0013	1.4077			130.0	4.20234e-07
0.00135	1.4128			135.0	2.77079e-07
0.0014	1.4077			140.0	5.52275e-07
0.00145	1.38729			145.0	4.1111e-06
0.0015	1.40004			150.0	3.76803e-06
0.00155	1.39749			155.0	2.2187e-07
0.0016	1.36943			160.0	9.02534e-08
0.00165	1.35923			165.0	6.37295e-08
0.0017	1.39494			170.0	1.14963e-07
0.00175	1.4179			175.0	5.26676e-07
0.0018	1.41535			180.0	3.05741e-06
0.00185	1.423			185.0	3.04765e-06
0.0019	1.40004			190.0	1.22934e-06
0.00195	1.38474			195.0	6.19379e-07
0.002	1.33882			200.0	3.56231e-07
0.00205	1.35923			205.0	7.38592e-07
0.0021	1.40514			210.0	1.16418e-06
0.00215	1.42045			215.0	2.87534e-07
0.0022	1.423			220.0	3.50222e-07
0.00225	1.38474			225.0	1.30121e-07
0.0023	1.36433			230.0	9.91746e-08
0.00235	1.37198			235.0	4.16282e-07
0.0024	1.40259			240.0	5.43329e-08
0.00245	1.36688			245.0	4.79975e-07
0.0025	1.37453			250.0	2.07124e-06
0.00255	1.37453			255.0	3.72931e-06
0.0026	1.38474			260.0	2.80181e-06
0.00265	1.37964			265.0	4.05716e-06
0.0027	1.37964			270.0	8.97587e-06
0.00275	1.38984			275.0	3.10721e-06
0.0028	1.37198			280.0	3.72437e-07
0.00285	1.38984			285.0	5.25388e-07
0.0029	1.39494			290.0	6.26184e-06
0.00295	1.40514			295.0	9.37373e-06
0.003	1.36688			300.0	5.74386e-06
0.00305	1.34648			305.0	3.4622e-06
0.0031	1.38219			310.0	1.08678e-06
0.00315	1.39239			315.0	1.60052e-06
0.0032	1.40004			320.0	5.84133e-07
0.00325	1.38474			325.0	2.55331e-09
0.0033	1.39749			330.0	2.25684e-07
0.00335	1.38219			335.0	7.20434e-08
0.0034	1.38984			340.0	1.00733e-07
0.00345	1.41025			345.0	2.05419e-06
0.0035	1.40259			350.0	1.69228e-06
0.00355	1.4077			355.0	2.57611e-06
0.0036	1.39494			360.0	3.1992e-05
0.00365	1.38729			365.0	3.40204e-05
0.0037	1.39239			370.0	4.8237e-06
0.00375	1.38219			375.0	3.78959e-06
0.0038	1.39239			380.0	6.07864e-06
0.00385	1.38219			385.0	7.41387e-07
0.0039	1.37964			390.0	1.36979e-05
0.00395	1.41025			395.0	3.81913e-05
0.004	1.39494			400.0	2.20018e-05
0.00405	1.38219			405.0	2.89539e-06
0.0041	1.38984			410.0	3.05091e-06
0.00415	1.38984			415.0	6.20671e-06
0.0042	1.40259			420.0	8.62691e-06
0.00425	1.39239			425.0	2.57374e-06
0.0043	1.41535			430.0	1.67166e-06
0.00435	1.42045			435.0	7.14911e-06
0.0044	1.39494			440.0	3.38187e-06
0.00445	1.38984			445.0	3.81443e-07
0.0045	1.39749			450.0	1.62999e-06
0.00455	1.40004			455.0	1.41356e-06
0.0046	1.40259			460.0	6.67162e-06
0.00465	1.40004			465.0	2.73196e-06
0.0047	1.40004			470.0	4.93202e-06
0.00475	1.39494			475.0	1.06946e-05
0.0048	1.40259			480.0	8.00533e-06
0.00485	1.41535			485.0	6.47039e-06
0.0049	1.40004			490.0	1.132e-06
0.00495	1.4077			495.0	7.12919e-07
0.005	1.40514			500.0	1.82932e-06
0.00505	1.40514			505.0	4.63278e-06
0.0051	1.40259			510.0	1.07338e-06
0.00515	1.38729			515.0	2.32939e-07
0.0052	1.40004			520.0	5.65498e-08
0.00525	1.40514			525.0	1.01613e-06
0.0053	1.37709			530.0	2.25564e-06
0.00535	1.37198			535.0	9.07572e-06
0.0054	1.37709			540.0	1.34064e-05
0.00545	1.39239			545.0	6.57476e-06
0.0055	1.38984			550.0	3.45978e-07
0.00555	1.36178			555.0	1.6783e-06
0.0056	1.34903			560.0	2.33815e-06
0.00565	1.36433			565.0	3.58169e-06
0.0057	1.35413			570.0	8.65493e-07
0.00575	1.37198			575.0	1.36888e-06
0.0058	1.38219			580.0	1.00734e-06
0.00585	1.36943			585.0	2.33578e-06
0.0059	1.34393			590.0	1.73847e-06
0.00595	1.35923			595.0	1.33561e-06
0.006	1.35923			600.0	1.08688e-06
0.00605	1.38729			605.0	1.46847e-06
0.0061	1.39749			610.0	7.17428e-06
0.00615	1.39239			615.0	1.01582e-05
0.0062	1.38984			620.0	3.0898e-06
0.00625	1.40514			625.0	2.67384e-07
0.0063	1.4077			630.0	6.73235e-07
0.00635	1.39494			635.0	6.14091e-07
0.0064	1.39494			640.0	1.39724e-06
0.00645	1.39494			645.0	4.57683e-07
0.0065	1.42045			650.0	2.55037e-06
0.00655	1.43065			655.0	4.1442e-07
0.0066	1.42555			660.0	1.30065e-06
0.00665	1.39494			665.0	3.11805e-06
0.0067	1.38219			670.0	2.17151e-06
0.00675	1.39494			675.0	2.33245e-07
0.0068	1.4128			680.0	1.49604e-06
0.00685	1.41025			685.0	1.00885e-06
0.0069	1.423			690.0	4.54167e-07
0.00695	1.4179			695.0	1.55343e-07
0.007	1.40004			700.0	6.08904e-07
0.00705	1.38984			705.0	5.06507e-07
0.0071	1.37709			710.0	9.90091e-07
0.00715	1.36688			715.0	3.20997e-07
0.0072	1.37198			720.0	1.825e-06
0.00725	1.38474			725.0	2.83348e-06
0.0073	1.38474			730.0	2.22501e-06
0.00735	1.39239			735.0	1.89693e-06
0.0074	1.37198			740.0	3.13768e-06
0.00745	1.36433			745.0	8.55936e-06
0.0075	1.38219			750.0	1.83876e-05
0.00755	1.37964			755.0	1.67991e-05
0.0076	1.36688			760.0	5.63338e-06
0.00765	1.38984			765.0	5.41522e-07
0.0077	1.39494			770.0	7.6858e-07
0.00775	1.37198			775.0	4.73852e-07
0.0078	1.37198			780.0	3.86486e-07
0.00785	1.38219			785.0	4.0974e-07
0.0079	1.37453			790.0	2.51721e-06
0.00795	1.37964			795.0	2.15738e-06
0.008	1.38729			800.0	1.01447e-06
0.00805	1.38474			805.0	3.49478e-06
0.0081	1.37453			810.0	1.18855e-06
0.00815	1.39239			815.0	8.44972e-09
0.0082	1.40514			820.0	4.75443e-07
0.00825	1.39749			825.0	2.70304e-07
0.0083	1.38984			830.0	1.65567e-07
0.00835	1.37198			835.0	1.00589e-06
0.0084	1.37453			840.0	1.08143e-06
0.00845	1.38219			845.0	5.33455e-07
0.0085	1.40004			850.0	3.21861e-07
0.00855	1.4128			855.0	1.85763e-07
0.0086	1.4179			860.0	2.5188e-07
0.00865	1.423			865.0	2.61778e-07
0.0087	1.4281			870.0	5.7738e-08
0.00875	1.39239			875.0	1.04317e-07
0.0088	1.40259			880.0	7.72709e-08
0.00885	1.41025			885.0	4.44202e-08
0.0089	1.41535			890.0	3.72573e-07
0.00895	1.39749			895.0	1.67881e-07
0.009	1.38729			900.0	1.80466e-08
0.00905	1.39239			905.0	2.03223e-08
0.0091	1.42555			910.0	6.20913e-08
0.00915	1.4332			915.0	2.43974e-07
0.0092	1.4128			920.0	6.79769e-08
0.00925	1.39494			925.0	1.97738e-07
0.0093	1.36943			930.0	5.57969e-07
0.00935	1.38474			935.0	2.93837e-07
0.0094	1.40514			940.0	1.10574e-07
0.00945	1.42555			945.0	1.85049e-07
0.0095	1.40259			950.0	2.07119e-07
0.00955	1.39239			955.0	3.90234e-07
0.0096	1.39494			960.0	3.23758e-08
0.00965	1.39239			965.0	1.68202e-07
0.0097	1.38474			970.0	2.13298e-07
0.00975	1.38729			975.0	8.76391e-08
0.0098	1.38474			980.0	5.64165e-08
0.00985	1.37964			985.0	2.03104e-07
0.0099	1.39749			990.0	1.49335e-07
0.00995	1.40004			995.0	3.16679e-08
0.01	1.37964			1000.0	1.73188e-08
0.01005	1.35923			1005.0	7.78147e-08
0.0101	1.36178			1010.0	8.01511e-08
0.01015	1.37198			1015.0	1.86735e-07
0.0102	1.40004			1020.0	4.60112e-07
0.01025	1.40514			1025.0	2.63473e-07
0.0103	1.37198			1030.0	6.48232e-08
0.01035	1.34648			1035.0	4.53102e-08
0.0104	1.34393			1040.0	1.43278e-08
0.01045	1.34903			1045.0	5.48622e-08
0.0105	1.35923			1050.0	3.74349e-08
0.01055	1.38729			1055.0	4.87558e-08
0.0106	1.39494			1060.0	1.6688e-07
0.01065	1.37453			1065.0	5.87279e-08
0.0107	1.36688			1070.0	1.65832e-07
0.01075	1.35923			1075.0	1.53332e-06
0.0108	1.36433			1080.0	1.47975e-06
0.01085	1.35923			1085.0	1.36895e-07
0.0109	1.37198			1090.0	5.30413e-07
0.01095	1.36943			1095.0	3.19139e-07
0.011	1.38474			1100.0	1.96053e-07
0.01105	1.37709			1105.0	8.59293e-08
0.0111	1.37453			1110.0	8.2691e-08
0.01115	1.38474			1115.0	2.59608e-08
0.0112	1.37709			1120.0	8.45294e-08
0.01125	1.37964			1125.0	5.58133e-08
0.0113	1.40514			1130.0	1.19356e-08
0.01135	1.4128			1135.0	1.31829e-08
0.0114	1.40514			1140.0	1.94971e-09
0.01145	1.40259			1145.0	2.49427e-09
0.0115	1.4128			1150.0	3.35742e-08
0.01155	1.423			1155.0	2.16628e-07
0.0116	1.423			1160.0	1.52283e-07
0.01165	1.4332			1165.0	5.74918e-08
