Time - piezo	Amplitude - piezo	Unnamed: 2	Unnamed: 3	Frequency [Hz] - piezo (Power Spectrum)	Amplitude - piezo (Power Spectrum)
0.0	-0.00578737			0.0	4.75104e-06
5e-05	-0.0134324			5.0	1.00107e-05
0.0001	-0.0147066			10.0	8.25216e-06
0.00015	-0.0198033			15.0	1.74011e-06
0.0002	-0.0210775			20.0	3.82451e-07
0.00025	-0.0223517			25.0	7.98156e-07
0.0003	-0.0274484			30.0	2.74241e-07
0.00035	-0.0261742			35.0	2.67414e-07
0.0004	-0.0223517			40.0	8.57787e-07
0.00045	-0.0210775			45.0	2.71845e-06
0.0005	-0.0223517			50.0	4.40382e-06
0.00055	-0.0198033			55.0	9.9959e-07
0.0006	-0.0159808			60.0	3.42743e-06
0.00065	-0.0134324			65.0	2.68176e-06
0.0007	-0.0108841			70.0	2.19196e-07
0.00075	-0.0134324			75.0	2.1626e-07
0.0008	-0.00578737			80.0	1.82435e-07
0.00085	0.000583518			85.0	1.78166e-07
0.0009	0.000583518			90.0	5.93817e-07
0.00095	0.00313188			95.0	4.47549e-06
0.001	0.00695441			100.0	3.9274e-06
0.00105	0.0133253			105.0	6.6307e-07
0.0011	0.0171478			110.0	5.22571e-09
0.00115	0.0133253			115.0	9.71429e-08
0.0012	0.0171478			120.0	3.04734e-07
0.00125	0.0196962			125.0	3.45803e-07
0.0013	0.0222446			130.0	2.03239e-07
0.00135	0.0133253			135.0	4.64562e-07
0.0014	0.018422			140.0	1.28053e-06
0.00145	0.0158737			145.0	2.78411e-06
0.0015	0.018422			150.0	8.13154e-06
0.00155	0.0120511			155.0	5.47971e-06
0.0016	0.0120511			160.0	7.40331e-07
0.00165	0.0107769			165.0	3.95026e-07
0.0017	0.00695441			170.0	1.23679e-07
0.00175	0.00568023			175.0	3.5036e-08
0.0018	0.00440605			180.0	4.91184e-07
0.00185	0.00822859			185.0	1.26391e-07
0.0019	-0.00196484			190.0	3.54905e-07
0.00195	-0.00196484			195.0	6.38868e-07
0.002	-0.0121583			200.0	1.31804e-07
0.00205	-0.0108841			205.0	1.80147e-07
0.0021	-0.00960991			210.0	3.47157e-07
0.00215	-0.0159808			215.0	2.27879e-07
0.0022	-0.0147066			220.0	4.16238e-08
0.00225	-0.017255			225.0	6.67571e-08
0.0023	-0.0134324			230.0	1.52299e-07
0.00235	-0.0223517			235.0	1.59703e-07
0.0024	-0.0210775			240.0	3.03221e-09
0.00245	-0.0198033			245.0	3.11185e-07
0.0025	-0.0198033			250.0	2.70615e-07
0.00255	-0.0236259			255.0	2.10581e-07
0.0026	-0.0236259			260.0	6.69652e-08
0.00265	-0.0147066			265.0	1.93735e-07
0.0027	-0.0198033			270.0	1.8901e-07
0.00275	-0.0223517			275.0	1.33696e-08
0.0028	-0.0185292			280.0	2.70791e-08
0.00285	-0.017255			285.0	4.88441e-08
0.0029	-0.0134324			290.0	3.41797e-07
0.00295	-0.017255			295.0	1.18855e-06
0.003	-0.0121583			300.0	1.00889e-06
0.00305	-0.0134324			305.0	1.05241e-06
0.0031	-0.00960991			310.0	1.53087e-06
0.00315	-0.00706155			315.0	1.34832e-06
0.0032	-0.00960991			320.0	1.09748e-06
0.00325	-0.00323902			325.0	3.21737e-07
0.0033	-0.00196484			330.0	1.18717e-07
0.00335	0.000583518			335.0	2.57152e-07
0.0034	-0.00069066			340.0	3.2847e-07
0.00345	-0.00323902			345.0	1.28513e-07
0.0035	0.00440605			350.0	2.26276e-07
0.00355	0.00313188			355.0	3.48e-07
0.0036	0.00568023			360.0	2.03543e-08
0.00365	0.00822859			365.0	1.43267e-07
0.0037	0.00313188			370.0	5.56802e-07
0.00375	0.00950277			375.0	9.29737e-08
0.0038	0.00313188			380.0	1.99213e-07
0.00385	0.00822859			385.0	9.89157e-08
0.0039	0.00695441			390.0	2.5567e-09
0.00395	0.00313188			395.0	2.96476e-07
0.004	0.0018577			400.0	1.31651e-07
0.00405	0.00313188			405.0	1.07955e-06
0.0041	0.000583518			410.0	3.1736e-06
0.00415	0.00695441			415.0	4.15691e-06
0.0042	-0.00069066			420.0	1.14745e-06
0.00425	-0.00706155			425.0	1.69492e-07
0.0043	-0.00196484			430.0	2.30962e-07
0.00435	-0.0045132			435.0	4.58276e-08
0.0044	-0.00323902			440.0	6.96518e-07
0.00445	-0.00706155			445.0	7.59727e-07
0.0045	-0.0147066			450.0	1.33471e-06
0.00455	-0.00706155			455.0	2.36342e-06
0.0046	-0.0108841			460.0	1.1689e-06
0.00465	-0.0134324			465.0	5.24067e-06
0.0047	-0.00960991			470.0	1.02879e-05
0.00475	-0.00960991			475.0	1.38159e-06
0.0048	-0.00706155			480.0	2.42256e-06
0.00485	-0.00706155			485.0	2.01056e-07
0.0049	-0.00833573			490.0	3.85838e-06
0.00495	-0.00323902			495.0	6.1768e-06
0.005	-0.00578737			500.0	6.79995e-06
0.00505	-0.00578737			505.0	4.57875e-06
0.0051	0.00313188			510.0	7.98203e-06
0.00515	0.00313188			515.0	1.1954e-05
0.0052	0.00822859			520.0	1.14618e-05
0.00525	0.00950277			525.0	2.40701e-05
0.0053	0.00695441			530.0	6.65577e-06
0.00535	0.00822859			535.0	2.7243e-05
0.0054	0.0120511			540.0	3.10749e-05
0.00545	0.0107769			545.0	2.8766e-05
0.0055	0.0133253			550.0	4.33551e-05
0.00555	0.0171478			555.0	2.15103e-05
0.0056	0.0145995			560.0	1.15633e-05
0.00565	0.0171478			565.0	1.07534e-05
0.0057	0.0171478			570.0	6.6257e-06
0.00575	0.0158737			575.0	2.55861e-06
0.0058	0.0196962			580.0	3.69553e-07
0.00585	0.0196962			585.0	1.80446e-07
0.0059	0.0171478			590.0	2.3645e-07
0.00595	0.018422			595.0	9.40761e-07
0.006	0.0171478			600.0	3.21999e-06
0.00605	0.0120511			605.0	2.04211e-06
0.0061	0.0196962			610.0	3.30115e-07
0.00615	0.0120511			615.0	9.1131e-08
0.0062	0.00695441			620.0	1.03704e-08
0.00625	0.0133253			625.0	6.42165e-07
0.0063	0.00695441			630.0	1.80027e-06
0.00635	-0.00323902			635.0	5.82315e-07
0.0064	-0.00196484			640.0	4.51344e-07
0.00645	-0.00323902			645.0	4.17933e-07
0.0065	-0.0045132			650.0	2.12808e-07
0.00655	-0.00323902			655.0	8.88567e-08
0.0066	-0.0121583			660.0	4.73477e-08
0.00665	-0.0159808			665.0	1.77665e-07
0.0067	-0.00833573			670.0	1.11223e-07
0.00675	-0.00960991			675.0	3.5532e-07
0.0068	-0.017255			680.0	3.39706e-07
0.00685	-0.017255			685.0	9.88993e-08
0.0069	-0.0134324			690.0	1.43982e-08
0.00695	-0.0134324			695.0	9.5414e-11
0.007	-0.0108841			700.0	9.96659e-10
0.00705	-0.00960991			705.0	2.13155e-08
0.0071	-0.0108841			710.0	4.9088e-08
0.00715	-0.00706155			715.0	2.94231e-08
0.0072	-0.00323902			720.0	5.89051e-08
0.00725	-0.00323902			725.0	4.41823e-08
0.0073	0.000583518			730.0	4.36449e-08
0.00735	0.00568023			735.0	5.32458e-08
0.0074	0.00695441			740.0	3.454e-09
0.00745	0.00695441			745.0	7.34066e-09
0.0075	0.0107769			750.0	2.27761e-08
0.00755	0.00822859			755.0	4.62885e-08
0.0076	0.00695441			760.0	3.2713e-08
0.00765	0.00822859			765.0	6.64386e-09
0.0077	0.00822859			770.0	9.54406e-08
0.00775	0.00695441			775.0	1.01672e-07
0.0078	0.0107769			780.0	6.01665e-08
0.00785	0.0107769			785.0	1.28142e-07
0.0079	0.00440605			790.0	2.25066e-08
0.00795	0.00695441			795.0	3.38731e-09
0.008	0.00950277			800.0	7.34442e-08
0.00805	0.00695441			805.0	7.6733e-08
0.0081	0.00568023			810.0	7.14844e-09
0.00815	0.0145995			815.0	1.28298e-07
0.0082	0.0120511			820.0	1.18999e-07
0.00825	0.00822859			825.0	1.24532e-07
0.0083	0.0107769			830.0	3.33592e-07
0.00835	0.0120511			835.0	5.77366e-07
0.0084	0.00695441			840.0	7.22492e-07
0.00845	0.00822859			845.0	3.87372e-07
0.0085	0.0120511			850.0	4.02153e-07
0.00855	0.00695441			855.0	1.01828e-06
0.0086	0.00313188			860.0	5.98044e-07
0.00865	0.00695441			865.0	9.61947e-08
0.0087	0.00440605			870.0	9.2052e-09
0.00875	-0.00069066			875.0	5.56298e-09
0.0088	0.000583518			880.0	2.24588e-08
0.00885	0.0018577			885.0	1.7718e-08
0.0089	-0.00706155			890.0	1.61076e-08
0.00895	-0.00960991			895.0	3.4931e-09
0.009	-0.0045132			900.0	1.80937e-09
0.00905	-0.00323902			905.0	7.13324e-09
0.0091	-0.0134324			910.0	3.44318e-09
0.00915	-0.0134324			915.0	2.09745e-09
0.0092	-0.0108841			920.0	1.56668e-08
0.00925	-0.0134324			925.0	7.83333e-09
0.0093	-0.0121583			930.0	3.89721e-09
0.00935	-0.0108841			935.0	4.40445e-09
0.0094	-0.0108841			940.0	3.30206e-10
0.00945	-0.00833573			945.0	3.22493e-09
0.0095	-0.00706155			950.0	3.72893e-09
0.00955	-0.00833573			955.0	1.94601e-09
0.0096	-0.0121583			960.0	2.23556e-10
0.00965	-0.0045132			965.0	1.47196e-09
0.0097	0.000583518			970.0	6.81333e-09
0.00975	-0.0045132			975.0	1.13673e-08
0.0098	-0.0045132			980.0	2.6076e-09
0.00985	0.0018577			985.0	1.89452e-10
0.0099	0.00568023			990.0	5.84048e-09
0.00995	0.000583518			995.0	3.11134e-08
0.01	0.000583518			1000.0	2.73233e-08
0.01005	0.00695441			1005.0	3.23817e-10
0.0101	0.00695441			1010.0	4.39565e-09
0.01015	0.00313188			1015.0	2.62578e-09
0.0102	0.00440605			1020.0	4.26607e-10
0.01025	0.00695441			1025.0	3.2717e-10
0.0103	0.00568023			1030.0	5.98472e-10
0.01035	0.00313188			1035.0	1.78688e-09
0.0104	0.00440605			1040.0	1.15714e-09
0.01045	0.00695441			1045.0	1.69049e-09
0.0105	0.00440605			1050.0	2.69413e-09
0.01055	0.0107769			1055.0	2.55864e-09
0.0106	0.00950277			1060.0	2.75124e-10
0.01065	0.0018577			1065.0	2.87576e-09
