Time - soundlvl	Amplitude - soundlvl	Unnamed: 2	Unnamed: 3	Frequency (Hz) - soundlvl (Power Spectrum)	Amplitude - soundlvl (Power Spectrum)
0.0	1.29291			0.0	1.94521
5e-05	1.37964			5.0	0.972616
0.0001	1.52503			10.0	3.0418e-09
0.00015	1.46381			15.0	7.80413e-10
0.0002	1.35158			20.0	6.06455e-08
0.00025	1.4332			25.0	3.41115e-08
0.0003	1.50207			30.0	5.29097e-09
0.00035	1.40004			35.0	4.71951e-08
0.0004	1.4077			40.0	1.77272e-07
0.00045	1.47912			45.0	1.5173e-07
0.0005	1.48422			50.0	9.67163e-09
0.00055	1.38984			55.0	6.00106e-07
0.0006	1.33117			60.0	5.80484e-07
0.00065	1.39239			65.0	9.19246e-08
0.0007	1.50718			70.0	9.369e-08
0.00075	1.43065			75.0	5.4129e-07
0.0008	1.29801			80.0	6.68558e-07
0.00085	1.30311			85.0	2.35115e-07
0.0009	1.39239			90.0	9.5883e-08
0.00095	1.423			95.0	8.48521e-07
0.001	1.35413			100.0	1.50855e-06
0.00105	1.38984			105.0	4.47372e-07
0.0011	1.42555			110.0	5.96295e-07
0.00115	1.49187			115.0	2.32162e-06
0.0012	1.46381			120.0	2.77588e-06
0.00125	1.44596			125.0	9.15681e-07
0.0013	1.50463			130.0	3.66191e-07
0.00135	1.52758			135.0	5.8971e-07
0.0014	1.49187			140.0	2.49571e-06
0.00145	1.45871			145.0	6.09521e-06
0.0015	1.53013			150.0	7.17196e-06
0.00155	1.5786			155.0	3.29332e-06
0.0016	1.46381			160.0	1.14076e-08
0.00165	1.40514			165.0	1.189e-06
0.0017	1.46636			170.0	1.84046e-06
0.00175	1.43575			175.0	2.062e-06
0.0018	1.32352			180.0	3.033e-06
0.00185	1.22404			185.0	2.71381e-06
0.0019	1.26995			190.0	1.07308e-06
0.00195	1.34648			195.0	1.76126e-06
0.002	1.21639			200.0	9.94963e-07
0.00205	1.08885			205.0	1.50722e-07
0.0021	1.22149			210.0	1.62008e-06
0.00215	1.43065			215.0	8.91686e-06
0.0022	1.36178			220.0	2.68104e-06
0.00225	1.21894			225.0	3.01875e-07
0.0023	1.35923			230.0	5.153e-07
