Time - piezo	Amplitude - piezo	Unnamed: 2	Unnamed: 3	Frequency [Hz] - piezo (Power Spectrum)	Amplitude - piezo (Power Spectrum)
0.0	-0.0134324			0.0	4.81701e-07
5e-05	-0.00706155			5.0	1.67556e-05
0.0001	-0.00578737			10.0	4.46401e-06
0.00015	-0.00706155			15.0	4.71589e-06
0.0002	-0.00578737			20.0	4.30241e-06
0.00025	0.00313188			25.0	3.84756e-06
0.0003	0.000583518			30.0	1.92125e-06
0.00035	0.00440605			35.0	5.43167e-07
0.0004	0.00695441			40.0	2.17072e-06
0.00045	0.00822859			45.0	1.25411e-06
0.0005	0.0107769			50.0	4.32832e-06
0.00055	0.0158737			55.0	6.97075e-06
0.0006	0.0145995			60.0	3.07756e-07
0.00065	0.0158737			65.0	2.96471e-06
0.0007	0.0171478			70.0	5.58549e-07
0.00075	0.0171478			75.0	7.35699e-08
0.0008	0.0133253			80.0	2.82291e-07
0.00085	0.0145995			85.0	6.86141e-07
0.0009	0.0235187			90.0	4.59498e-07
0.00095	0.0120511			95.0	6.41567e-08
0.001	0.0107769			100.0	1.83955e-07
0.00105	0.00822859			105.0	3.1237e-07
0.0011	0.0145995			110.0	5.20443e-08
0.00115	0.0107769			115.0	3.38481e-08
0.0012	0.00695441			120.0	2.45311e-07
0.00125	-0.00323902			125.0	3.28662e-07
0.0013	0.00440605			130.0	2.56259e-09
0.00135	0.00440605			135.0	4.43546e-08
0.0014	0.00440605			140.0	4.17436e-07
0.00145	0.000583518			145.0	9.10175e-07
0.0015	-0.00196484			150.0	5.34507e-07
0.00155	0.000583518			155.0	2.77483e-06
0.0016	-0.00196484			160.0	2.2758e-06
0.00165	0.00313188			165.0	2.34834e-06
0.0017	-0.00196484			170.0	7.97746e-06
0.00175	0.00440605			175.0	1.60307e-05
0.0018	0.000583518			180.0	3.46401e-06
0.00185	0.00568023			185.0	1.41792e-06
0.0019	0.00568023			190.0	4.86911e-07
0.00195	0.00822859			195.0	1.26466e-08
0.002	0.00822859			200.0	3.25584e-07
0.00205	0.0107769			205.0	2.58218e-07
