Time - soundlvl	Amplitude - soundlvl	Unnamed: 2	Unnamed: 3	Frequency (Hz) - soundlvl (Power Spectrum)	Amplitude - soundlvl (Power Spectrum)
0.0	0.841418			0.0	0.726733
5e-05	0.833766			5.0	0.366236
0.0001	0.843969			10.0	1.6529e-05
0.00015	0.831215			15.0	1.05921e-06
0.0002	0.84907			20.0	6.38778e-08
0.00025	0.833766			25.0	3.14741e-08
0.0003	0.843969			30.0	1.09099e-08
0.00035	0.841418			35.0	5.60628e-08
0.0004	0.843969			40.0	8.32307e-09
0.00045	0.833766			45.0	3.0461e-08
0.0005	0.841418			50.0	1.359e-08
0.00055	0.833766			55.0	3.74648e-08
0.0006	0.846519			60.0	3.55733e-08
0.00065	0.831215			65.0	9.59042e-09
0.0007	0.836316			70.0	7.58596e-09
0.00075	0.833766			75.0	2.09461e-08
0.0008	0.846519			80.0	1.05071e-08
0.00085	0.833766			85.0	2.38197e-08
0.0009	0.838867			90.0	2.87739e-09
0.00095	0.831215			95.0	1.75892e-08
0.001	0.846519			100.0	5.01753e-09
0.00105	0.831215			105.0	1.83764e-09
0.0011	0.841418			110.0	2.32147e-09
0.00115	0.836316			115.0	8.32757e-09
0.0012	0.841418			120.0	2.61347e-08
0.00125	0.838867			125.0	1.52179e-08
0.0013	0.833766			130.0	1.29726e-08
0.00135	0.836316			135.0	2.02984e-08
0.0014	0.828664			140.0	2.80843e-08
0.00145	0.838867			145.0	3.15625e-08
0.0015	0.833766			150.0	3.39356e-08
0.00155	0.843969			155.0	3.84386e-09
0.0016	0.833766			160.0	4.32854e-09
0.00165	0.836316			165.0	4.55368e-09
0.0017	0.833766			170.0	1.56283e-09
0.00175	0.836316			175.0	1.71144e-08
0.0018	0.833766			180.0	3.48349e-08
0.00185	0.843969			185.0	2.38765e-09
0.0019	0.846519			190.0	6.08092e-09
0.00195	0.836316			195.0	4.37034e-10
0.002	0.84907			200.0	1.81553e-09
0.00205	0.833766			205.0	1.87287e-08
0.0021	0.838867			210.0	4.14093e-10
0.00215	0.838867			215.0	7.21098e-09
0.0022	0.841418			220.0	1.37528e-09
0.00225	0.841418			225.0	6.18835e-09
0.0023	0.828664			230.0	2.76811e-08
0.00235	0.843969			235.0	3.00851e-08
0.0024	0.841418			240.0	1.84215e-08
0.00245	0.831215			245.0	1.19024e-08
0.0025	0.836316			250.0	1.1481e-08
0.00255	0.833766			255.0	1.56976e-08
0.0026	0.838867			260.0	1.12762e-09
0.00265	0.833766			265.0	5.33355e-08
0.0027	0.843969			270.0	1.93132e-08
0.00275	0.833766			275.0	1.64396e-08
0.0028	0.833766			280.0	5.73027e-09
0.00285	0.828664			285.0	2.42055e-09
0.0029	0.833766			290.0	8.13329e-09
0.00295	0.841418			295.0	1.11948e-08
0.003	0.833766			300.0	4.92858e-08
0.00305	0.833766			305.0	8.71736e-08
0.0031	0.833766			310.0	1.58879e-08
0.00315	0.833766			315.0	4.30884e-11
0.0032	0.843969			320.0	1.41788e-08
0.00325	0.836316			325.0	1.74733e-08
0.0033	0.838867			330.0	1.68548e-08
0.00335	0.836316			335.0	1.96622e-08
0.0034	0.833766			340.0	1.48913e-08
0.00345	0.84907			345.0	4.63379e-10
0.0035	0.828664			350.0	3.67255e-08
0.00355	0.836316			355.0	5.44101e-08
0.0036	0.843969			360.0	1.46164e-08
0.00365	0.833766			365.0	2.09128e-09
0.0037	0.841418			370.0	1.43152e-08
0.00375	0.836316			375.0	3.08097e-08
0.0038	0.841418			380.0	1.03992e-08
0.00385	0.841418			385.0	9.95291e-09
0.0039	0.833766			390.0	1.79618e-08
0.00395	0.843969			395.0	8.96858e-09
0.004	0.841418			400.0	5.10655e-09
0.00405	0.836316			405.0	1.36075e-09
0.0041	0.833766			410.0	3.44924e-09
0.00415	0.831215			415.0	2.71638e-08
0.0042	0.838867			420.0	1.16442e-08
0.00425	0.833766			425.0	3.28393e-08
0.0043	0.831215			430.0	1.25488e-08
0.00435	0.84907			435.0	3.36849e-08
0.0044	0.843969			440.0	3.13156e-08
0.00445	0.841418			445.0	2.81154e-08
0.0045	0.843969			450.0	2.76185e-08
0.00455	0.831215			455.0	1.65175e-09
0.0046	0.843969			460.0	1.16679e-09
0.00465	0.833766			465.0	2.10347e-08
0.0047	0.831215			470.0	3.24733e-08
0.00475	0.843969			475.0	3.12791e-09
0.0048	0.833766			480.0	3.88003e-09
0.00485	0.833766			485.0	1.36441e-08
0.0049	0.841418			490.0	4.33452e-08
0.00495	0.843969			495.0	3.74499e-09
0.005	0.841418			500.0	6.16487e-09
0.00505	0.846519			505.0	3.93731e-09
0.0051	0.833766			510.0	1.33872e-08
0.00515	0.828664			515.0	3.06494e-08
0.0052	0.833766			520.0	8.9763e-09
0.00525	0.823562			525.0	2.15106e-08
0.0053	0.833766			530.0	3.3602e-08
0.00535	0.841418			535.0	9.86898e-09
0.0054	0.836316			540.0	3.69696e-08
0.00545	0.841418			545.0	2.62676e-08
0.0055	0.836316			550.0	2.6199e-08
0.00555	0.833766			555.0	8.71138e-09
0.0056	0.833766			560.0	1.21976e-08
0.00565	0.833766			565.0	3.526e-08
0.0057	0.831215			570.0	3.81765e-08
0.00575	0.841418			575.0	1.61215e-08
0.0058	0.833766			580.0	9.79473e-10
0.00585	0.828664			585.0	1.93643e-09
0.0059	0.838867			590.0	3.66522e-08
0.00595	0.833766			595.0	3.33012e-08
0.006	0.836316			600.0	1.03694e-08
0.00605	0.838867			605.0	2.95684e-09
0.0061	0.833766			610.0	6.21862e-09
0.00615	0.833766			615.0	1.05975e-09
0.0062	0.851621			620.0	9.03294e-09
0.00625	0.836316			625.0	2.37011e-08
0.0063	0.841418			630.0	9.95083e-10
0.00635	0.836316			635.0	1.4234e-09
0.0064	0.828664			640.0	3.07863e-08
0.00645	0.833766			645.0	1.97863e-08
0.0065	0.836316			650.0	1.10357e-09
0.00655	0.841418			655.0	4.86226e-09
0.0066	0.841418			660.0	1.09592e-08
0.00665	0.838867			665.0	5.80383e-10
0.0067	0.831215			670.0	7.34478e-09
0.00675	0.828664			675.0	2.15691e-08
0.0068	0.838867			680.0	7.69936e-09
0.00685	0.833766			685.0	2.58811e-10
0.0069	0.833766			690.0	2.21783e-09
0.00695	0.841418			695.0	1.68709e-08
0.007	0.838867			700.0	1.01044e-08
0.00705	0.831215			705.0	3.14141e-09
0.0071	0.841418			710.0	3.97212e-09
0.00715	0.823562			715.0	7.05267e-09
0.0072	0.833766			720.0	3.47749e-08
0.00725	0.838867			725.0	2.63078e-08
0.0073	0.833766			730.0	1.10688e-09
0.00735	0.826113			735.0	3.11025e-09
0.0074	0.828664			740.0	5.79436e-09
0.00745	0.833766			745.0	1.00415e-08
0.0075	0.833766			750.0	2.89849e-08
0.00755	0.836316			755.0	1.7834e-08
0.0076	0.833766			760.0	1.57357e-08
0.00765	0.828664			765.0	6.12956e-09
0.0077	0.836316			770.0	9.26009e-09
0.00775	0.843969			775.0	1.50635e-08
0.0078	0.838867			780.0	2.30798e-09
0.00785	0.833766			785.0	2.80849e-08
0.0079	0.841418			790.0	4.8347e-08
0.00795	0.833766			795.0	5.05846e-08
0.008	0.833766			800.0	1.63541e-08
0.00805	0.838867			805.0	1.64679e-08
0.0081	0.843969			810.0	1.30869e-08
0.00815	0.836316			815.0	2.90135e-09
0.0082	0.843969			820.0	1.78288e-08
0.00825	0.843969			825.0	6.55211e-09
0.0083	0.833766			830.0	2.08426e-08
0.00835	0.833766			835.0	2.26187e-08
0.0084	0.833766			840.0	4.36587e-09
0.00845	0.836316			845.0	1.32161e-08
0.0085	0.833766			850.0	2.26232e-08
0.00855	0.836316			855.0	3.59109e-08
0.0086	0.841418			860.0	8.17129e-09
0.00865	0.833766			865.0	1.6772e-08
0.0087	0.823562			870.0	1.01122e-08
0.00875	0.836316			875.0	2.26913e-08
0.0088	0.843969			880.0	1.04609e-08
0.00885	0.833766			885.0	3.17529e-09
0.0089	0.838867			890.0	2.73443e-09
0.00895	0.843969			895.0	6.59425e-09
0.009	0.838867			900.0	1.96575e-08
0.00905	0.831215			905.0	3.22108e-08
0.0091	0.833766			910.0	3.33173e-08
0.00915	0.836316			915.0	2.00084e-08
0.0092	0.828664			920.0	4.20547e-09
0.00925	0.843969			925.0	1.11205e-08
0.0093	0.84907			930.0	7.69338e-10
0.00935	0.836316			935.0	2.18297e-08
0.0094	0.833766			940.0	2.61046e-08
0.00945	0.833766			945.0	1.44539e-08
0.0095	0.836316			950.0	2.59159e-09
0.00955	0.833766			955.0	5.69334e-09
0.0096	0.833766			960.0	8.62813e-09
0.00965	0.843969			965.0	3.58874e-09
0.0097	0.833766			970.0	1.30558e-08
0.00975	0.833766			975.0	3.10196e-08
0.0098	0.841418			980.0	4.95819e-08
0.00985	0.838867			985.0	4.0715e-08
0.0099	0.836316			990.0	5.62072e-09
0.00995	0.836316			995.0	2.01525e-09
0.01	0.836316			1000.0	1.36287e-09
0.01005	0.836316			1005.0	1.22744e-08
0.0101	0.831215			1010.0	3.89152e-08
0.01015	0.841418			1015.0	2.99759e-08
0.0102	0.838867			1020.0	2.83622e-08
0.01025	0.836316			1025.0	8.77909e-09
0.0103	0.836316			1030.0	1.84666e-08
0.01035	0.841418			1035.0	7.71454e-09
0.0104	0.833766			1040.0	6.44191e-09
0.01045	0.828664			1045.0	1.10301e-08
0.0105	0.838867			1050.0	5.21754e-09
0.01055	0.843969			1055.0	1.5559e-09
0.0106	0.838867			1060.0	6.07258e-10
0.01065	0.833766			1065.0	2.17642e-09
0.0107	0.836316			1070.0	1.40963e-08
0.01075	0.841418			1075.0	2.2765e-08
0.0108	0.833766			1080.0	1.30274e-08
0.01085	0.831215			1085.0	1.97808e-08
0.0109	0.841418			1090.0	1.71435e-08
0.01095	0.833766			1095.0	1.51377e-08
0.011	0.833766			1100.0	6.54469e-09
0.01105	0.836316			1105.0	5.56052e-09
0.0111	0.846519			1110.0	1.48544e-09
0.01115	0.836316			1115.0	6.03251e-09
0.0112	0.838867			1120.0	1.19237e-08
0.01125	0.838867			1125.0	8.25416e-09
0.0113	0.843969			1130.0	1.1423e-08
0.01135	0.841418			1135.0	6.47002e-09
0.0114	0.836316			1140.0	4.02168e-09
