Time - piezo	Amplitude - piezo	Unnamed: 2	Unnamed: 3	Frequency [Hz] - piezo (Power Spectrum)	Amplitude - piezo (Power Spectrum)
0.0	-0.0045132			0.0	9.82399e-07
5e-05	-0.0045132			5.0	1.28454e-06
0.0001	-0.00706155			10.0	2.82523e-07
0.00015	0.000583518			15.0	1.82588e-07
0.0002	-0.00833573			20.0	2.96949e-06
0.00025	-0.00069066			25.0	1.14069e-05
0.0003	-0.00578737			30.0	6.75516e-06
0.00035	0.0018577			35.0	3.21212e-07
0.0004	-0.0045132			40.0	2.10522e-07
0.00045	0.00313188			45.0	1.68976e-07
0.0005	-0.00578737			50.0	9.88614e-09
0.00055	0.00313188			55.0	6.93598e-07
0.0006	-0.0045132			60.0	2.99611e-06
0.00065	0.00313188			65.0	9.03848e-07
0.0007	-0.00196484			70.0	1.83663e-06
0.00075	0.00440605			75.0	5.82396e-06
0.0008	0.0018577			80.0	8.58355e-06
0.00085	0.00695441			85.0	6.51987e-06
0.0009	0.00313188			90.0	1.11305e-06
0.00095	0.00822859			95.0	2.62898e-07
0.001	-0.00069066			100.0	3.05942e-07
0.00105	0.000583518			105.0	5.50944e-08
0.0011	-0.00578737			110.0	1.01469e-07
0.00115	0.0018577			115.0	7.08683e-08
0.0012	-0.00196484			120.0	1.43927e-07
0.00125	0.00313188			125.0	1.37328e-07
0.0013	-0.0045132			130.0	7.27205e-08
0.00135	-0.00196484			135.0	3.34207e-07
0.0014	-0.00196484			140.0	3.83434e-07
0.00145	-0.0045132			145.0	5.45252e-07
0.0015	-0.00706155			150.0	7.82905e-06
0.00155	-0.00196484			155.0	2.85656e-05
0.0016	0.0018577			160.0	1.35497e-05
0.00165	-0.0045132			165.0	5.88128e-06
0.0017	0.000583518			170.0	1.90236e-06
0.00175	-0.00196484			175.0	2.41867e-07
0.0018	0.00440605			180.0	4.88979e-07
0.00185	0.0018577			185.0	1.12689e-07
0.0019	0.00313188			190.0	2.09445e-08
0.00195	0.00440605			195.0	5.9053e-08
0.002	0.00822859			200.0	2.4697e-07
0.00205	0.00950277			205.0	4.61555e-08
0.0021	0.00313188			210.0	5.01518e-07
0.00215	0.00950277			215.0	5.11173e-07
0.0022	0.00440605			220.0	5.49082e-08
0.00225	0.00822859			225.0	9.39394e-07
0.0023	0.00822859			230.0	1.72869e-06
0.00235	0.00695441			235.0	2.41103e-07
0.0024	0.00695441			240.0	8.69938e-10
0.00245	0.00950277			245.0	1.08967e-07
0.0025	0.00822859			250.0	1.12539e-07
0.00255	0.00313188			255.0	2.4925e-09
0.0026	0.00822859			260.0	5.0808e-09
0.00265	0.00568023			265.0	8.13448e-08
0.0027	0.00695441			270.0	7.30615e-08
0.00275	0.00568023			275.0	8.80952e-08
0.0028	0.00695441			280.0	2.49116e-07
0.00285	0.0120511			285.0	2.17841e-07
0.0029	0.00568023			290.0	3.34431e-09
0.00295	0.00950277			295.0	7.56996e-08
0.003	0.00950277			300.0	5.59781e-07
0.00305	0.0107769			305.0	4.82584e-07
0.0031	0.0133253			310.0	6.46187e-08
0.00315	0.0107769			315.0	2.07744e-07
0.0032	0.0158737			320.0	3.91275e-08
0.00325	0.0158737			325.0	3.97697e-08
0.0033	0.0171478			330.0	4.06535e-07
0.00335	0.0196962			335.0	8.72392e-07
0.0034	0.0145995			340.0	9.67879e-08
0.00345	0.0222446			345.0	1.66576e-08
0.0035	0.018422			350.0	6.23761e-08
0.00355	0.0196962			355.0	1.21374e-07
0.0036	0.0235187			360.0	3.56799e-08
0.00365	0.0222446			365.0	1.18309e-08
0.0037	0.0235187			370.0	1.66277e-08
0.00375	0.0235187			375.0	2.31819e-09
0.0038	0.0235187			380.0	1.24497e-08
0.00385	0.0273413			385.0	3.15673e-08
0.0039	0.018422			390.0	7.46643e-08
0.00395	0.0273413			395.0	7.61856e-08
0.004	0.0247929			400.0	1.90753e-08
0.00405	0.0260671			405.0	5.67296e-08
0.0041	0.0298896			410.0	2.10392e-07
0.00415	0.0260671			415.0	7.69748e-08
0.0042	0.0235187			420.0	1.89e-08
0.00425	0.0235187			425.0	5.04675e-09
0.0043	0.0196962			430.0	4.95837e-09
0.00435	0.0209704			435.0	3.87508e-08
0.0044	0.018422			440.0	3.05899e-08
0.00445	0.0171478			445.0	9.09187e-09
0.0045	0.0196962			450.0	1.39172e-06
0.00455	0.0158737			455.0	1.99184e-06
0.0046	0.0145995			460.0	6.51016e-07
0.00465	0.0171478			465.0	9.1336e-08
0.0047	0.00695441			470.0	1.2377e-06
0.00475	0.0120511			475.0	7.26258e-07
0.0048	0.0107769			480.0	8.89272e-07
0.00485	0.00950277			485.0	7.99858e-07
0.0049	0.0120511			490.0	1.44743e-07
0.00495	0.0120511			495.0	2.79897e-07
0.005	0.00950277			500.0	3.21263e-07
0.00505	0.0133253			505.0	4.59974e-07
0.0051	0.0133253			510.0	3.23649e-07
0.00515	0.00822859			515.0	7.03789e-07
0.0052	0.0171478			520.0	1.63255e-06
0.00525	0.0120511			525.0	1.06762e-06
0.0053	0.0158737			530.0	1.40486e-07
0.00535	0.018422			535.0	4.69908e-06
0.0054	0.0120511			540.0	1.13312e-05
0.00545	0.0158737			545.0	4.16611e-06
0.0055	0.0158737			550.0	9.47436e-07
0.00555	0.0120511			555.0	1.22754e-06
0.0056	0.0158737			560.0	9.12509e-07
0.00565	0.0133253			565.0	3.92321e-08
0.0057	0.0120511			570.0	7.0147e-08
0.00575	0.0145995			575.0	2.27209e-07
0.0058	0.00695441			580.0	4.26319e-07
0.00585	0.00822859			585.0	1.88551e-07
0.0059	0.0107769			590.0	6.17624e-10
0.00595	0.00440605			595.0	4.27589e-08
0.006	-0.00069066			600.0	5.8125e-08
0.00605	0.00440605			605.0	8.27249e-09
0.0061	-0.00069066			610.0	1.27762e-07
0.00615	-0.00069066			615.0	8.72239e-08
0.0062	-0.00196484			620.0	6.48192e-08
0.00625	-0.0045132			625.0	2.6049e-08
0.0063	-0.00706155			630.0	5.61312e-08
0.00635	-0.00323902			635.0	2.24981e-09
0.0064	-0.0134324			640.0	3.23696e-08
0.00645	-0.00706155			645.0	1.70203e-08
0.0065	-0.00706155			650.0	4.28169e-08
0.00655	-0.0108841			655.0	7.25748e-09
0.0066	-0.00960991			660.0	1.83506e-08
0.00665	-0.00960991			665.0	5.78366e-08
0.0067	-0.0159808			670.0	5.62037e-08
0.00675	-0.00960991			675.0	3.13888e-09
0.0068	-0.0121583			680.0	8.81413e-08
0.00685	-0.0121583			685.0	2.0616e-07
0.0069	-0.00960991			690.0	8.82231e-08
0.00695	-0.00706155			695.0	1.03957e-08
0.007	-0.00833573			700.0	6.54776e-09
0.00705	-0.00960991			705.0	3.75998e-08
0.0071	-0.00578737			710.0	1.39086e-07
0.00715	-0.00706155			715.0	6.45628e-08
0.0072	-0.00578737			720.0	1.0787e-08
0.00725	-0.00196484			725.0	6.69918e-09
0.0073	-0.0045132			730.0	6.10462e-09
0.00735	-0.00706155			735.0	3.17178e-09
0.0074	0.000583518			740.0	5.20415e-09
0.00745	-0.00069066			745.0	5.26675e-09
0.0075	-0.00069066			750.0	3.2595e-09
0.00755	0.00313188			755.0	1.08616e-08
0.0076	0.00568023			760.0	1.93125e-08
0.00765	0.0018577			765.0	1.23446e-08
0.0077	0.00313188			770.0	1.71518e-09
0.00775	0.00695441			775.0	4.83461e-09
0.0078	0.00568023			780.0	1.26105e-08
0.00785	0.0018577			785.0	6.10788e-09
0.0079	0.00568023			790.0	4.74814e-10
0.00795	0.00313188			795.0	9.60237e-10
0.008	0.0018577			800.0	9.48025e-10
0.00805	0.00440605			805.0	2.03199e-09
0.0081	0.000583518			810.0	2.29117e-09
0.00815	-0.00196484			815.0	6.39886e-10
0.0082	0.000583518			820.0	2.57292e-09
0.00825	0.000583518			825.0	1.61322e-09
0.0083	-0.00196484			830.0	5.68591e-10
0.00835	0.000583518			835.0	5.66901e-09
0.0084	0.00313188			840.0	1.22225e-08
0.00845	-0.00069066			845.0	7.66856e-09
0.0085	-0.0045132			850.0	4.71398e-09
0.00855	0.000583518			855.0	4.97065e-09
0.0086	0.00313188			860.0	9.65987e-09
0.00865	-0.00196484			865.0	7.00192e-09
0.0087	0.00313188			870.0	1.77912e-09
0.00875	0.00568023			875.0	2.51231e-09
0.0088	0.00313188			880.0	8.97264e-09
0.00885	0.00313188			885.0	1.71652e-09
0.0089	0.00695441			890.0	5.82711e-09
0.00895	0.0133253			895.0	1.17272e-08
0.009	0.00313188			900.0	6.38207e-10
0.00905	0.00822859			905.0	5.16189e-09
0.0091	0.0120511			910.0	2.93532e-08
0.00915	0.00950277			915.0	4.70143e-08
0.0092	0.00695441			920.0	2.57269e-08
0.00925	0.0120511			925.0	1.10109e-08
0.0093	0.0145995			930.0	8.12188e-09
0.00935	0.00695441			935.0	3.20213e-09
0.0094	0.0107769			940.0	6.85174e-09
0.00945	0.0145995			945.0	1.16185e-08
