Time - soundlvl	Amplitude - soundlvl	Unnamed: 2	Unnamed: 3	Frequency (Hz) - soundlvl (Power Spectrum)	Amplitude - soundlvl (Power Spectrum)
0.0	0.790402			0.0	0.626693
5e-05	0.787851			5.0	0.311362
0.0001	0.787851			10.0	2.54255e-06
0.00015	0.790402			15.0	1.01919e-06
0.0002	0.787851			20.0	7.88558e-07
0.00025	0.792953			25.0	9.24869e-09
0.0003	0.795504			30.0	1.18097e-08
0.00035	0.795504			35.0	8.78222e-09
0.0004	0.78275			40.0	2.38306e-08
0.00045	0.787851			45.0	5.43942e-08
0.0005	0.7853			50.0	1.00716e-08
0.00055	0.790402			55.0	2.52486e-08
0.0006	0.7853			60.0	5.65458e-08
0.00065	0.790402			65.0	4.13999e-09
0.0007	0.7853			70.0	3.23475e-09
0.00075	0.798054			75.0	7.08303e-09
0.0008	0.790402			80.0	7.79359e-09
0.00085	0.790402			85.0	1.92826e-09
0.0009	0.78275			90.0	1.18737e-08
0.00095	0.7853			95.0	8.63644e-09
0.001	0.790402			100.0	1.08221e-08
0.00105	0.787851			105.0	1.20774e-09
0.0011	0.7853			110.0	1.14469e-08
0.00115	0.790402			115.0	2.03568e-08
0.0012	0.790402			120.0	2.13524e-08
0.00125	0.777648			125.0	1.5971e-08
0.0013	0.792953			130.0	1.75568e-08
0.00135	0.78275			135.0	2.30292e-08
0.0014	0.795504			140.0	1.87748e-08
0.00145	0.787851			145.0	7.19752e-09
0.0015	0.795504			150.0	5.60778e-10
0.00155	0.78275			155.0	7.34191e-09
0.0016	0.7853			160.0	3.29664e-09
0.00165	0.78275			165.0	7.9211e-09
0.0017	0.795504			170.0	4.81362e-09
0.00175	0.787851			175.0	2.12592e-08
0.0018	0.792953			180.0	1.34998e-08
0.00185	0.792953			185.0	1.45242e-08
0.0019	0.792953			190.0	2.86947e-08
0.00195	0.792953			195.0	1.34641e-08
0.002	0.787851			200.0	1.00945e-09
0.00205	0.787851			205.0	9.55244e-09
0.0021	0.780199			210.0	1.92367e-08
0.00215	0.792953			215.0	3.99202e-08
0.0022	0.780199			220.0	2.35487e-08
0.00225	0.790402			225.0	1.79191e-09
0.0023	0.790402			230.0	9.74e-09
0.00235	0.792953			235.0	1.78985e-08
0.0024	0.792953			240.0	1.19541e-08
0.00245	0.780199			245.0	3.26118e-09
0.0025	0.795504			250.0	1.03447e-09
0.00255	0.7853			255.0	6.21791e-09
0.0026	0.787851			260.0	1.92119e-08
0.00265	0.792953			265.0	2.65148e-08
0.0027	0.78275			270.0	6.46647e-10
0.00275	0.795504			275.0	1.11917e-08
0.0028	0.78275			280.0	1.27503e-09
0.00285	0.780199			285.0	9.50662e-09
0.0029	0.787851			290.0	9.93541e-09
0.00295	0.78275			295.0	1.59296e-08
0.003	0.792953			300.0	9.63732e-09
0.00305	0.7853			305.0	3.96567e-09
0.0031	0.792953			310.0	3.24787e-09
0.00315	0.780199			315.0	3.17315e-09
0.0032	0.792953			320.0	1.22116e-09
0.00325	0.792953			325.0	5.47242e-09
0.0033	0.787851			330.0	6.87174e-10
0.00335	0.795504			335.0	1.56717e-08
0.0034	0.787851			340.0	1.77708e-08
0.00345	0.792953			345.0	1.36999e-08
