Time - piezo	Amplitude - piezo	Unnamed: 2	Unnamed: 3	Frequency [Hz] - piezo (Power Spectrum)	Amplitude - piezo (Power Spectrum)
0.0	0.00568023			0.0	1.08272e-06
5e-05	0.000583518			5.0	1.65057e-06
0.0001	0.00822859			10.0	4.03443e-07
0.00015	0.00313188			15.0	3.96239e-08
0.0002	0.0107769			20.0	4.63974e-07
0.00025	0.00440605			25.0	2.65283e-06
0.0003	0.0120511			30.0	1.36963e-06
0.00035	0.00695441			35.0	2.50027e-08
0.0004	0.0107769			40.0	2.19309e-07
0.00045	0.00695441			45.0	3.34053e-08
0.0005	0.0107769			50.0	3.82681e-09
0.00055	0.00440605			55.0	1.01185e-06
0.0006	0.0107769			60.0	4.73388e-06
0.00065	0.00313188			65.0	1.52791e-06
0.0007	0.00695441			70.0	2.75699e-07
0.00075	-0.00196484			75.0	4.74632e-06
0.0008	0.0018577			80.0	5.65941e-06
0.00085	-0.00578737			85.0	4.74158e-07
0.0009	-0.00196484			90.0	9.35106e-08
0.00095	-0.00706155			95.0	1.49628e-07
0.001	-0.00323902			100.0	2.22563e-07
0.00105	-0.00960991			105.0	1.60011e-07
0.0011	-0.00578737			110.0	6.99011e-08
0.00115	-0.0147066			115.0	2.35606e-07
0.0012	-0.00960991			120.0	1.36117e-07
0.00125	-0.0147066			125.0	1.06051e-07
0.0013	-0.0134324			130.0	1.62464e-07
0.00135	-0.0210775			135.0	6.3865e-08
0.0014	-0.0159808			140.0	3.3391e-07
0.00145	-0.0210775			145.0	3.06603e-06
0.0015	-0.017255			150.0	4.17873e-06
0.00155	-0.017255			155.0	5.50263e-07
0.0016	-0.0159808			160.0	7.08531e-07
0.00165	-0.0159808			165.0	1.53351e-06
0.0017	-0.0121583			170.0	5.64829e-08
0.00175	-0.00960991			175.0	1.83553e-06
0.0018	-0.0134324			180.0	1.22966e-06
0.00185	-0.00578737			185.0	1.29833e-07
0.0019	-0.0121583			190.0	2.66226e-09
0.00195	-0.00196484			195.0	6.63128e-09
0.002	-0.00578737			200.0	3.25124e-08
0.00205	-0.00833573			205.0	2.44056e-08
0.0021	-0.00578737			210.0	4.2596e-07
0.00215	-0.00706155			215.0	1.63369e-06
0.0022	0.000583518			220.0	9.98195e-07
0.00225	-0.00578737			225.0	1.17178e-07
0.0023	0.00313188			230.0	1.07505e-08
0.00235	-0.00196484			235.0	1.61852e-08
0.0024	-0.00196484			240.0	3.76438e-09
0.00245	0.000583518			245.0	7.08226e-09
0.0025	-0.00323902			250.0	4.49094e-09
0.00255	0.0018577			255.0	9.10407e-09
0.0026	-0.0045132			260.0	3.39157e-08
0.00265	-0.00069066			265.0	9.05884e-09
0.0027	-0.00196484			270.0	3.39846e-08
0.00275	-0.00323902			275.0	9.16646e-08
0.0028	-0.00706155			280.0	4.89786e-08
0.00285	-0.0134324			285.0	1.54244e-07
0.0029	-0.00706155			290.0	3.94245e-07
0.00295	-0.0108841			295.0	2.77636e-08
0.003	-0.0108841			300.0	1.31207e-07
0.00305	-0.0134324			305.0	2.72933e-07
0.0031	-0.00960991			310.0	2.13826e-07
0.00315	-0.00833573			315.0	1.5819e-07
0.0032	-0.0134324			320.0	2.97273e-08
0.00325	-0.0121583			325.0	3.68723e-08
0.0033	-0.0134324			330.0	2.69321e-08
0.00335	-0.00960991			335.0	2.62794e-08
0.0034	-0.00706155			340.0	1.20706e-08
0.00345	-0.00960991			345.0	2.71286e-10
0.0035	-0.00706155			350.0	3.14696e-08
0.00355	-0.00578737			355.0	1.0082e-07
0.0036	-0.00196484			360.0	2.47075e-07
0.00365	-0.00069066			365.0	1.59259e-07
0.0037	-0.0045132			370.0	4.25441e-08
0.00375	0.000583518			375.0	1.76841e-09
0.0038	-0.00069066			380.0	1.14654e-08
0.00385	-0.00069066			385.0	4.72031e-08
0.0039	0.00695441			390.0	1.56559e-07
0.00395	0.00313188			395.0	2.04772e-08
0.004	0.00313188			400.0	3.90637e-08
0.00405	0.00695441			405.0	4.63214e-09
0.0041	-0.00069066			410.0	4.67838e-08
0.00415	0.00440605			415.0	1.73584e-07
0.0042	0.00568023			420.0	3.47045e-07
0.00425	0.00440605			425.0	3.89026e-07
0.0043	0.00568023			430.0	1.74773e-06
0.00435	0.0018577			435.0	1.27958e-06
0.0044	0.00313188			440.0	3.31551e-07
0.00445	0.00440605			445.0	1.86246e-07
0.0045	0.000583518			450.0	2.23045e-07
0.00455	0.00440605			455.0	4.2571e-07
0.0046	0.0018577			460.0	4.31436e-08
0.00465	-0.00196484			465.0	4.74467e-07
0.0047	-0.00323902			470.0	6.25005e-07
0.00475	0.000583518			475.0	4.73176e-07
0.0048	-0.00323902			480.0	3.65109e-07
0.00485	0.00313188			485.0	2.32587e-07
0.0049	0.00440605			490.0	8.5727e-09
0.00495	0.00313188			495.0	5.60279e-07
0.005	0.00568023			500.0	9.0356e-07
0.00505	0.00440605			505.0	1.98956e-07
0.0051	0.00313188			510.0	9.22379e-07
0.00515	0.00695441			515.0	2.09158e-06
0.0052	0.000583518			520.0	2.2399e-06
0.00525	0.0018577			525.0	2.87924e-06
0.0053	0.00822859			530.0	3.8701e-07
0.00535	0.00313188			535.0	4.10586e-06
0.0054	0.00695441			540.0	7.24573e-06
0.00545	0.00695441			545.0	8.47986e-08
0.0055	0.00440605			550.0	3.54244e-06
0.00555	0.00568023			555.0	1.94631e-06
0.0056	0.00568023			560.0	2.26678e-07
0.00565	0.00313188			565.0	1.14414e-06
0.0057	0.00695441			570.0	3.452e-07
0.00575	0.00440605			575.0	3.78774e-07
0.0058	0.00313188			580.0	5.72685e-07
0.00585	0.00568023			585.0	7.3096e-08
0.0059	0.00440605			590.0	1.39264e-07
0.00595	-0.00069066			595.0	2.03719e-07
0.006	0.000583518			600.0	2.4642e-07
0.00605	-0.00196484			605.0	1.36518e-07
0.0061	-0.0045132			610.0	5.44687e-08
0.00615	-0.00196484			615.0	1.96449e-08
0.0062	-0.00323902			620.0	4.9127e-08
0.00625	-0.00706155			625.0	1.65818e-08
0.0063	-0.0045132			630.0	1.11867e-07
0.00635	-0.0045132			635.0	1.13659e-07
0.0064	-0.00960991			640.0	5.61103e-07
0.00645	-0.00323902			645.0	5.04456e-07
0.0065	-0.00706155			650.0	4.99712e-08
