Time - soundlvl	Amplitude - soundlvl	Unnamed: 2	Unnamed: 3	Frequency (Hz) - soundlvl (Power Spectrum)	Amplitude - soundlvl (Power Spectrum)
0.0	0.757242			0.0	0.619866
5e-05	0.762343			5.0	0.313718
0.0001	0.762343			10.0	1.36291e-05
0.00015	0.759792			15.0	1.93679e-07
0.0002	0.764894			20.0	1.49097e-07
0.00025	0.759792			25.0	3.1209e-08
0.0003	0.762343			30.0	5.42582e-08
0.00035	0.75214			35.0	1.70607e-08
0.0004	0.769996			40.0	4.52775e-08
0.00045	0.757242			45.0	3.84682e-08
0.0005	0.764894			50.0	1.1227e-08
0.00055	0.757242			55.0	4.77053e-09
0.0006	0.767445			60.0	7.50052e-10
0.00065	0.754691			65.0	1.56494e-08
0.0007	0.759792			70.0	1.16985e-08
0.00075	0.75214			75.0	2.10422e-08
0.0008	0.767445			80.0	4.53852e-08
0.00085	0.757242			85.0	4.25809e-08
0.0009	0.772546			90.0	4.40475e-08
0.00095	0.757242			95.0	2.82705e-08
0.001	0.764894			100.0	1.15647e-08
0.00105	0.747038			105.0	5.259e-08
0.0011	0.75214			110.0	7.38898e-08
0.00115	0.759792			115.0	2.11794e-08
0.0012	0.757242			120.0	6.58282e-09
0.00125	0.759792			125.0	8.11644e-09
0.0013	0.759792			130.0	4.05084e-09
0.00135	0.759792			135.0	1.53444e-09
0.0014	0.757242			140.0	2.07812e-09
0.00145	0.767445			145.0	2.11814e-08
0.0015	0.747038			150.0	2.71043e-08
0.00155	0.762343			155.0	2.86188e-08
0.0016	0.75214			160.0	1.9417e-08
0.00165	0.769996			165.0	1.5115e-08
0.0017	0.754691			170.0	4.28265e-08
0.00175	0.767445			175.0	2.35581e-08
0.0018	0.759792			180.0	8.21708e-10
0.00185	0.767445			185.0	2.77829e-10
0.0019	0.754691			190.0	2.98006e-08
0.00195	0.759792			195.0	1.95387e-08
0.002	0.764894			200.0	1.50328e-08
0.00205	0.759792			205.0	2.15515e-08
0.0021	0.767445			210.0	3.0981e-08
0.00215	0.762343			215.0	2.63207e-08
0.0022	0.772546			220.0	1.13478e-08
0.00225	0.759792			225.0	4.21766e-09
0.0023	0.767445			230.0	2.45731e-08
0.00235	0.762343			235.0	5.66945e-09
0.0024	0.764894			240.0	3.34143e-08
0.00245	0.772546			245.0	2.26268e-08
0.0025	0.759792			250.0	3.20134e-10
0.00255	0.772546			255.0	1.30682e-08
0.0026	0.754691			260.0	2.61898e-09
